id,x,y
0,-0.462245,0.588784
1,-0.155834,0.16705
3,-0.218001,0.418131
5,7.13495,0.339727
7,7.25585,0.309845
8,13.006,0.548022
9,13.3522,0.447337
11,13.1767,0.223927
12,18.9791,0.56583
13,19.0625,0.386105
15,19.1959,0.342677
16,24.9826,0.598403
17,24.9651,0.41691
19,25.0043,0.300092
20,31.012,0.636293
21,30.966,0.50759
23,31.2124,0.398946
24,36.9937,0.680074
25,36.9663,0.492527
27,37.1375,0.418892
28,42.971,0.621999
29,42.9506,0.460232
31,43.0828,0.402385
32,48.3464,0.614368
33,48.2768,0.454347
35,48.5954,0.324921
37,52.2042,0.435086
38,52.9887,0.665744
39,52.4698,0.321325
41,60.8012,0.47746
42,61.5531,0.708417
43,61.0012,0.392163
45,66.6813,0.507988
46,67.4047,0.735219
47,66.9138,0.319514
49,72.7406,0.502658
50,73.5028,0.472524
51,73.0107,0.491375
53,78.3816,0.495574
54,78.8832,0.247233
55,78.514,0.453276
57,84.401,0.474843
59,84.5688,0.312889
61,90.1534,0.511205
62,90.74,0.639822
63,90.4914,0.5855
65,96.1894,0.587404
66,96.68,0.774526
67,96.3863,0.527748
69,101.617,0.627374
71,101.792,0.560457
72,105.669,0.802745
73,105.46,0.622995
104,-0.236087,-0.548223
106,-0.155159,-0.267303
107,0.130256,-0.490627
108,4.4436,-0.542501
109,4.45548,-0.674265
110,4.72934,-0.398329
111,4.63505,-0.428106
112,10.0978,-0.513836
113,10.0787,-0.612803
115,10.6127,-0.524043
116,16.2872,-0.47515
117,16.0441,-0.615216
119,16.7008,-0.639939
120,22.2213,-0.445893
121,22.1598,-0.651242
122,22.2765,-0.388817
123,22.7239,-0.838422
124,28.0577,-0.475951
125,28.1791,-0.665116
127,28.5546,-0.844677
128,34.2127,-0.45343
129,34.0753,-0.60301
131,34.5623,-0.684214
132,40.4342,-0.445632
133,39.7212,-0.562482
135,40.5289,-0.918651
136,48.4941,-0.437739
137,48.4831,-0.529945
138,49.1,-0.366145
139,49.0412,-0.446012
140,52.34,-0.462548
141,52.2686,-0.582774
142,53.0169,-0.340904
143,52.5318,-0.677192
144,58.263,-0.257758
145,57.713,-0.612719
146,58.5224,-0.369178
147,57.9816,-0.674023
148,64.277,-0.296079
149,63.794,-0.587935
150,64.5251,-0.2888
151,64.3869,-0.46895
153,69.7787,-0.602622
154,70.3678,-0.374423
155,69.9305,-0.645178
157,75.714,-0.570613
158,76.2418,-0.827601
159,75.9147,-0.569453
161,81.3531,-0.462041
162,81.9775,-0.664641
163,81.8816,-0.805673
164,87.5474,-0.482722
165,87.2888,-0.466758
166,87.7415,-0.492225
167,87.5602,-0.595664
169,93.1698,-0.482853
170,93.6312,-0.368009
171,93.4271,-0.530879
172,101.957,-0.0798601
173,101.732,-0.379136
174,102.05,-0.356676
175,101.75,-0.45481
176,105.474,-0.320734
177,105.397,-0.404609
208,-0.146615,-1.63352
209,0.121856,-1.60612
210,-0.143561,-1.40502
211,0.202317,-1.57069
212,7.27448,-1.45252
213,7.6182,-1.61179
214,7.40874,-1.48887
