id,x,y
1,-0.549281,3.21197
3,-0.196692,3.06632
5,7.04675,3.03886
7,7.30155,3.10735
9,13.0995,3.19105
11,13.292,3.20205
13,19.0614,3.20372
15,19.2498,3.21685
17,25.0097,3.32044
19,25.2579,3.35518
21,31.0306,3.38093
23,31.2453,3.48547
25,37.0426,3.53815
27,37.258,3.54377
29,42.9334,3.61765
31,43.2478,3.63665
33,48.528,3.72143
35,48.5741,3.63812
37,52.3964,3.68443
39,52.6106,3.7191
41,60.891,3.93661
43,61.1255,3.96007
45,66.9595,4.06601
47,67.2193,4.12173
49,72.9497,4.13805
51,73.2167,4.22451
53,78.6655,4.20284
55,78.907,4.26904
57,84.6863,4.38324
59,84.9442,4.37438
61,90.7054,4.45248
63,90.9536,4.51338
65,96.7185,4.55692
67,96.884,4.4787
69,102.119,4.52025
71,102.449,4.68235
73,106.055,4.61792
75,106.305,4.69082
77,114.593,4.74933
79,114.85,4.77577
81,120.597,4.87023
83,120.79,4.90641
85,126.577,4.91454
87,126.829,4.99641
89,132.584,4.98359
91,132.765,5.06454
93,138.487,5.02647
95,138.712,5.07193
97,144.485,5.16435
99,144.689,5.19606
101,148.981,5.29501
103,149.254,5.50754
105,-0.431117,2.01189
107,-0.272104,1.96373
109,4.23996,1.982
111,4.38382,1.99829
112,9.91004,2.11933
113,10.1622,2.02107
115,10.3591,2.12578
117,16.1703,2.15237
119,16.3304,2.12071
121,22.1277,2.21153
123,22.3022,2.22239
125,28.075,2.3205
127,28.2366,2.35326
129,34.1029,2.42854
131,34.2695,2.45177
133,40.1013,2.48358
135,40.2564,2.48559
137,48.5508,2.57079
139,48.667,2.58366
141,52.4404,2.67577
143,52.6631,2.67737
145,57.9251,2.85137
147,58.1321,2.86735
149,63.9885,2.98095
151,64.1782,2.98655
153,70.0188,3.07834
155,70.1727,3.07643
157,76.0852,3.17891
159,76.2287,3.13043
161,81.7461,3.26212
163,81.9032,3.29882
165,87.7402,3.37444
167,87.9181,3.40945
169,93.7184,3.45179
171,93.878,3.48555
173,102.152,3.51023
175,102.315,3.5502
176,105.99,3.64515
177,106.086,3.52595
179,106.237,3.59966
181,111.676,3.6736
183,111.853,3.72993
185,117.639,3.78033
187,117.824,3.77297
189,123.595,3.83608
191,123.763,3.85376
193,129.591,3.89472
195,129.756,3.92486
197,135.58,3.96952
199,135.724,3.97718
201,141.519,4.05965
203,141.69,4.09759
205,148.968,4.25564
207,149.116,4.67565
209,-0.327757,0.89042
211,-0.195734,0.889724
212,7.26502,1.11314
213,7.22269,0.936376
214,7.41976,1.20131
215,7.37104,0.96384
216,13.2784,1.18825
217,13.2939,1.02582
219,13.4563,1.07375
220,19.2284,1.26303
221,19.3411,1.13146
223,19.4962,1.16038
224,25.1649,1.35617
225,25.239,1.19844
227,25.4038,1.2278
228,31.2355,1.49068
229,31.2835,1.3561
231,31.4407,1.37324
232,37.188,1.57809
233,37.2591,1.43719
235,37.4227,1.45711
236,43.1813,1.65613
237,43.2196,1.51439
239,43.3792,1.53606
240,48.5182,1.66372
241,48.6159,1.53621
243,48.7965,1.51559
244,52.5089,1.7645
245,52.5645,1.63203
247,52.7313,1.70764
248,61.0736,1.99521
249,61.1881,1.88087
251,61.3389,1.89064
252,67.119,2.09355
253,67.1494,1.9538
255,67.3439,2.02031
256,73.0752,2.20117
257,73.1559,2.06602
259,73.2955,2.07918
260,78.7131,2.30744
261,78.7649,2.17323
263,78.9434,2.1918
264,84.6897,2.39914
265,84.7129,2.26241
267,84.9166,2.26414
268,90.7171,2.46808
269,90.7964,2.33773
271,90.9527,2.39513
272,96.7429,2.56274
273,96.7802,2.40255
275,96.9352,2.42154
276,102.129,2.62666
277,102.159,2.48837
279,102.355,2.52088
280,106.084,2.63029
281,106.196,2.51688
283,106.285,2.60403
284,114.694,2.83562
285,114.739,2.69174
287,114.899,2.72511
288,120.639,2.90857
289,120.672,2.76556
291,120.833,2.75854
292,126.542,2.96924
293,126.61,2.84253
295,126.785,2.83735
296,132.61,3.03265
297,132.662,2.89339
299,132.799,2.95825
300,138.515,3.12264
301,138.577,2.98368
303,138.733,3.00792
304,144.487,3.21406
305,144.558,3.0891
307,144.728,3.06413
308,148.994,3.3194
309,148.973,3.13722
310,149.43,3.68692
311,149.154,3.13141
312,-0.21399,-0.907126
313,-0.141266,-1.14412
314,-0.0781254,-0.9233
315,0.00924987,-1.09141
316,4.42246,-0.975575
317,4.39126,-1.15728
318,4.66483,-0.959209
319,4.50949,-1.01679
320,10.4452,-0.88651
321,10.4497,-1.04763
322,10.5945,-0.873849
323,10.5846,-1.02197
324,16.4595,-0.775406
325,16.4669,-0.955794
326,16.6127,-0.759122
327,16.622,-0.859695
328,22.4631,-0.721414
329,22.5093,-0.874484
330,22.6232,-0.58404
331,22.6092,-0.794037
332,28.4204,-0.623796
333,28.464,-0.793962
334,28.5773,-0.493523
335,28.5884,-0.633111
336,34.4,-0.467198
337,34.4366,-0.620483
338,34.5536,-0.412642
339,34.5654,-0.559098
340,40.4526,-0.397137
341,40.4123,-0.55514
342,40.6331,-0.397618
343,40.5805,-0.453086
344,48.7563,-0.312436
345,48.849,-0.442234
346,48.9315,-0.168545
347,48.9909,-0.410819
348,52.7019,-0.195935
349,52.7624,-0.357919
350,52.8833,-0.158448
351,52.9355,-0.318379
352,58.2467,-0.0472148
353,58.3264,-0.204814
354,58.5023,-0.0141365
355,58.4719,-0.162042
356,64.2511,0.0388827
357,64.2435,-0.105581
358,64.4172,0.104917
359,64.4081,-0.0467637
360,70.2468,0.179566
361,70.3022,-0.0343731
362,70.4884,0.211377
363,70.4616,0.0874065
364,76.2584,0.26919
365,76.317,0.104077
366,76.5393,0.255683
367,76.4779,0.111624
368,81.8395,0.329027
369,81.8497,0.210956
370,82.0025,0.396139
371,82.0377,0.257108
372,87.8802,0.401926
373,87.8313,0.295535
374,88.0382,0.480419
375,87.9871,0.354964
376,93.8024,0.513911
377,93.8399,0.333113
378,93.9857,0.582268
379,94.0073,0.429426
380,102.152,0.559567
381,102.225,0.471091
382,102.338,0.584528
383,102.397,0.535799
384,106.095,0.603156
385,106.24,0.474158
386,106.325,0.72382
387,106.326,0.565952
388,111.733,0.723582
389,111.721,0.585556
390,111.893,0.810336
391,111.9,0.686945
392,117.628,0.880839
393,117.717,0.720063
394,117.881,0.903319
395,117.884,0.764938
396,123.596,0.966626
397,123.698,0.778285
398,123.894,0.974271
399,123.855,0.840497
400,129.647,0.989806
401,129.67,0.83894
402,129.811,1.04278
403,129.819,0.908441
404,135.607,1.06654
405,135.658,0.941459
406,135.793,1.15021
407,135.813,1.00698
408,141.619,1.1427
409,141.613,0.991016
410,141.783,1.184
411,141.763,1.05012
412,149.031,1.2918
413,149.079,1.17444
414,149.176,1.34453
415,149.237,1.15668
416,-0.17464,-2.04702
417,-0.14619,-2.18712
418,0.0310872,-2.00992
419,0.00854231,-2.15068
421,7.54127,-1.97147
422,7.52207,-2.11749
423,7.71277,-1.93112
424,7.69224,-2.07745
425,13.6151,-1.87285
426,13.6278,-2.02548
427,13.762,-1.80486
428,13.7586,-1.9405
429,19.6179,-1.79061
430,19.6093,-1.94433
431,19.7857,-1.74283
432,19.7649,-1.89563
433,25.5601,-1.71784
434,25.5307,-1.87088
435,25.6817,-1.5948
436,25.676,-1.73474
437,31.5273,-1.556
438,31.5481,-1.69458
439,31.716,-1.51026
440,31.7312,-1.64401
441,37.563,-1.4807
442,37.5416,-1.64529
443,37.7217,-1.41417
444,37.7211,-1.55439
445,43.4764,-1.37759
446,43.4866,-1.53792
447,43.6875,-1.34142
448,43.6322,-1.50147
449,48.913,-1.31132
450,48.9138,-1.4619
451,49.0707,-1.37819
452,49.0237,-1.59027
453,52.8577,-1.25054
454,52.8286,-1.41203
455,53.0079,-1.23001
456,53.0021,-1.387
457,61.3811,-1.04428
458,61.3927,-1.19096
459,61.5883,-1.00948
460,61.5795,-1.15083
461,67.435,-0.963624
462,67.4519,-1.10186
463,67.6373,-0.920007
464,67.6354,-1.04859
465,73.44,-0.845192
466,73.4471,-0.993165
467,73.6334,-0.799944
468,73.6645,-0.939407
469,78.8477,-0.729872
470,78.8795,-0.872773
471,79.0173,-0.736441
472,79.0566,-0.85952
473,84.8193,-0.671796
474,84.9284,-0.782959
476,85.0644,-0.720458
477,90.8023,-0.569773
478,90.8241,-0.711958
479,90.9935,-0.513889
480,90.9659,-0.671432
481,96.8492,-0.49514
482,96.8464,-0.63415
483,97.0454,-0.478392
484,96.9964,-0.626339
485,102.183,-0.444438
486,102.2,-0.578078
487,102.385,-0.394238
488,102.381,-0.538234
489,106.133,-0.361119
490,106.121,-0.503117
491,106.32,-0.344043
492,106.358,-0.475367
493,114.741,-0.226573
494,114.766,-0.354271
495,114.947,-0.201554
496,114.905,-0.348364
497,120.706,-0.126315
498,120.729,-0.259012
499,120.898,-0.113355
500,120.91,-0.253909
501,126.658,-0.0753253
502,126.729,-0.201119
503,126.848,-0.0554196
504,126.877,-0.170619
505,132.66,-0.0317621
506,132.602,-0.183393
507,132.853,0.0563309
508,132.744,-0.113988
509,138.632,0.0840374
510,138.626,-0.0598752
511,138.876,0.0377108
512,138.813,-0.0757946
513,144.61,0.194055
514,144.702,0.0787361
515,144.834,0.183025
516,144.848,0.0560491
517,149.03,0.27251
518,149.099,0.136557
519,149.244,0.282473
520,149.195,0.107857
521,-0.0800619,-3.10699
522,-0.0256429,-3.28581
523,0.12559,-3.04166
524,0.102529,-3.20906
525,4.61675,-3.06443
526,4.62376,-3.1991
527,4.7883,-2.9745
528,4.80259,-3.10213
529,10.6338,-2.98914
530,10.6233,-3.12895
531,10.8078,-2.90753
532,10.8908,-3.04121
533,16.6279,-2.88802
534,16.6358,-3.02685
535,16.8001,-2.78999
536,16.8952,-2.9125
537,22.6302,-2.7885
538,22.633,-2.92625
539,22.8083,-2.7118
541,28.6875,-2.67757
542,28.6741,-2.80156
543,28.8765,-2.59493
544,28.9253,-2.71418
545,34.5561,-2.5564
546,34.5767,-2.69864
547,34.7282,-2.5213
548,34.6931,-2.62112
549,40.6208,-2.49521
550,40.5709,-2.62994
551,40.7804,-2.36881
552,40.8369,-2.49937
553,49.0305,-2.36411
554,48.9909,-2.51049
555,49.2046,-2.39177
557,52.9285,-2.31568
558,52.9276,-2.4594
559,53.1374,-2.25709
560,53.2176,-2.36936
561,58.4797,-2.18971
562,58.5309,-2.32089
563,58.7117,-2.08196
564,58.7623,-2.20027
565,64.493,-2.05256
566,64.4964,-2.19352
567,64.665,-1.99461
