id,x,y
0,-0.148922,0.46887
1,-0.126006,0.32613
3,0.0500387,0.477958
5,7.34029,0.431875
7,7.55946,0.469481
8,13.2618,0.553073
9,13.3141,0.421302
11,13.4424,0.41743
12,19.1804,0.534501
13,19.2698,0.407408
15,19.4151,0.347899
16,25.11,0.541743
17,25.1698,0.413351
19,25.32,0.413727
20,31.1621,0.569679
21,31.2438,0.451746
23,31.2363,0.417646
24,37.0843,0.593329
25,37.1709,0.459813
27,37.2299,0.460971
28,43.0414,0.534841
29,43.0516,0.401853
31,43.1673,0.413823
32,48.4322,0.519119
33,48.4404,0.381653
35,48.7324,0.357552
37,52.3541,0.35673
38,52.7178,0.564077
39,52.6878,0.42107
41,60.7845,0.609529
42,61.2561,0.68936
43,61.0853,0.594171
45,66.735,0.59539
46,67.1994,0.618095
47,66.9664,0.522504
49,72.757,0.41069
50,73.1673,0.606904
51,72.9932,0.509139
53,78.3849,0.367374
54,78.7185,0.511332
55,78.3865,0.466775
57,84.2195,0.53243
59,84.5191,0.44909
61,90.1567,0.46353
62,90.4359,0.603027
63,90.2491,0.516038
65,95.9855,0.642208
66,96.3252,0.679257
67,96.2056,0.56981
69,101.334,0.719953
71,101.607,0.62899
72,105.325,1.02104
73,105.185,0.618614
104,-0.0357987,-0.525674
106,0.136762,-0.353575
107,0.104488,-0.607439
108,4.5221,-0.464926
109,4.54822,-0.581888
110,4.76531,-0.465571
111,4.69241,-0.594369
112,10.331,-0.482957
113,10.3269,-0.592788
115,10.7047,-0.585505
116,16.3145,-0.475118
117,16.2762,-0.60201
119,16.5789,-0.646549
120,22.2575,-0.513542
121,22.2295,-0.653872
122,22.4011,-0.398523
123,22.5067,-0.658797
124,28.1363,-0.510349
125,28.1742,-0.65819
127,28.4002,-0.632811
128,34.1618,-0.474933
129,34.1453,-0.616709
131,34.337,-0.628196
132,40.1544,-0.506872
133,40.0855,-0.639084
135,40.3552,-0.661709
136,48.5201,-0.501958
137,48.5838,-0.684489
138,48.8716,-0.443516
139,48.8396,-0.641157
140,52.3899,-0.507539
141,52.4046,-0.642247
142,52.7621,-0.485999
143,52.582,-0.676169
