id,x,y
0,0.0131342,0.0248566
1,0.310891,0.282772
3,0.525074,0.283612
5,7.13557,0.242716
7,7.91768,0.427696
8,13.0977,0.465427
9,13.6104,0.352189
11,13.8701,0.311666
12,19.0723,0.402968
13,19.2083,0.214374
15,20.3037,0.127652
16,24.8747,0.308766
17,24.7678,0.145963
19,25.7393,0.110656
20,31.1232,0.229095
21,31.0136,0.0881891
22,31.8746,0.167307
23,31.628,0.00763984
24,37.0563,0.0716525
25,37.1778,-0.0887917
26,37.6534,-0.0542669
27,37.1696,-0.179877
28,42.8162,-0.0543286
29,42.8353,-0.18883
31,43.4918,-0.190299
32,48.3754,-0.188481
33,48.3469,-0.282895
35,48.9852,-0.279887
36,52.1978,-0.291725
37,52.5271,-0.393486
39,52.5526,-0.451293
40,60.5898,-0.433785
41,60.9258,-0.535015
43,61.3347,-0.468769
44,66.7999,-0.475707
45,66.7938,-0.632469
46,67.6022,-0.634596
47,67.5485,-0.775416
48,72.7087,-0.675161
49,72.7267,-0.783428
51,73.1421,-0.90258
52,78.1985,-0.69761
53,78.3743,-0.816652
54,78.9289,-0.782232
55,78.4994,-0.958301
56,84.1128,-0.822524
57,84.2982,-0.88941
59,84.4386,-0.944886
60,90.1613,-0.76626
61,90.1966,-0.933886
63,90.3648,-0.969274
64,95.9631,-0.821591
65,96.1247,-0.914399
67,96.8002,-0.921847
68,101.399,-0.913114
69,101.377,-1.02739
71,102.138,-0.750236
72,105.406,-0.918583
73,105.389,-1.02148
104,0.218526,-0.711433
106,0.652695,-0.583765
107,0.516163,-0.659449
108,4.26771,-0.457345
109,5.05418,-0.761188
110,5.11118,-0.513914
111,5.0456,-0.682701
112,10.0749,-0.571491
113,10.1763,-0.722749
115,11.0757,-0.729417
116,16.177,-0.636777
117,16.2429,-0.657919
118,17.162,-0.648981
119,17.0613,-0.7736
120,22.2193,-0.664376
121,22.0937,-0.816691
122,22.8891,-0.769544
123,23.0303,-0.89148
124,28.1801,-0.804631
125,28.0188,-0.927743
126,28.8376,-0.825174
127,28.7875,-0.958073
128,34.144,-0.923128
129,34.0424,-1.04676
130,34.679,-0.951542
131,34.5665,-1.08908
132,40.0297,-1.0453
133,39.9606,-1.21602
134,40.553,-1.06397
135,40.5572,-1.21628
136,48.4001,-1.22224
137,48.5474,-1.32844
138,48.5789,-1.14031
139,49.0828,-1.34785
140,53.378,-1.49156
141,52.2048,-1.41835
142,52.5618,-1.21004
143,53.0422,-1.41106
144,57.8014,-1.3698
145,58.0545,-1.55774
146,58.4989,-1.34786
147,58.3712,-1.47518
148,63.7147,-1.4454
149,63.903,-1.63551
150,64.5062,-1.53692
151,64.4042,-1.65405
152,69.5416,-1.56427
153,69.5907,-1.77284
154,70.5533,-1.79296
155,70.3699,-1.94463
157,75.7287,-1.87643
158,76.2899,-1.81635
159,76.2312,-1.94839
160,81.3167,-1.72847
161,81.2944,-1.83064
162,81.5584,-1.63199
163,81.6591,-1.85289
164,87.2807,-1.77065
165,87.2368,-1.91841
166,87.3547,-1.7265
167,87.7358,-1.91309
168,93.0983,-1.83448
169,93.1529,-1.9471
170,93.3912,-1.70056
171,92.4911,-1.81977
172,101.808,-1.90379
173,101.485,-2.00125
175,101.972,-1.75475
176,105.541,-1.93498
177,105.459,-2.1021
208,0.48169,-1.48765
209,0.271996,-1.52471
210,0.63545,-1.69256
211,0.627733,-1.73301
212,7.45921,-1.49835
213,7.18303,-1.7835
214,7.51512,-1.50884
215,8.20471,-1.75254
216,13.3421,-1.63026
217,13.2868,-1.79372
218,13.3329,-1.61815
219,14.265,-1.83232
220,19.4534,-1.85732
221,19.3731,-1.83747
222,19.5456,-1.57055
223,20.062,-1.87377
224,25.3072,-1.80453
225,25.1228,-2.02967
226,25.372,-1.65974
227,26.0806,-1.95953
228,31.2187,-1.91419
229,31.1984,-2.11994
230,31.3684,-1.85117
231,31.9054,-2.13896
232,37.4367,-2.14424
233,37.1907,-2.23076
234,37.3409,-1.94618
235,37.7344,-2.18573
236,42.8852,-2.07326
237,42.8119,-2.39617
238,43.2377,-2.12496
239,43.7443,-2.27613
240,48.4072,-2.2174
241,48.3332,-2.53149
242,48.6088,-2.28998
243,49.073,-2.42963
244,52.2184,-2.33843
245,52.3731,-2.54792
246,52.6643,-2.29944
247,53.1659,-2.51184
248,60.9214,-2.42245
249,60.7953,-2.68326
250,61.0738,-2.41133
251,61.4888,-2.57576
252,66.9493,-2.63076
253,66.8329,-2.81936
254,67.0958,-2.5404
255,67.5188,-2.77496
256,72.9105,-2.7122
257,72.7273,-2.93954
258,72.9771,-2.57378
259,73.4585,-2.97607
260,78.5423,-2.8352
261,78.409,-2.93087
262,78.5145,-2.82223
263,78.916,-3.00915
264,84.2136,-2.82915
265,84.1443,-3.01458
266,84.4835,-2.74674
267,84.8642,-2.94532
268,90.3101,-2.93178
269,90.1644,-3.09607
270,90.3685,-2.81641
271,90.8257,-2.99856
272,96.1436,-2.88867
273,96.12,-3.09927
274,96.3387,-2.88936
275,96.8244,-2.97052
276,101.591,-2.96349
277,101.427,-3.11398
278,101.742,-2.81831
279,101.711,-3.16817
280,105.401,-2.92591
281,105.663,-2.91471
312,0.652692,-3.53508
313,0.680005,-3.79904
314,0.803132,-3.68772
315,0.916576,-3.7349
316,5.18882,-3.52658
317,4.50407,-3.7376
318,5.47873,-3.56887
319,5.24728,-3.70467
320,10.408,-3.57339
321,10.468,-3.77956
322,10.467,-3.57913
323,11.4438,-3.81997
324,16.2848,-3.70238
325,17.1966,-3.90037
326,16.6092,-3.57276
327,17.175,-3.87296
328,22.2729,-3.67535
329,23.0385,-3.99043
330,22.5725,-3.53717
331,23.3212,-3.89243
332,28.4409,-3.93111
334,28.3937,-3.62774
335,29.2761,-4.03348
336,34.2138,-3.7231
337,34.2878,-4.1909
338,34.4369,-3.84599
339,34.9803,-4.14538
340,40.2144,-4.118
342,40.3265,-3.87686
343,40.8426,-4.21373
344,48.5764,-4.30394
345,49.1165,-4.49621
346,48.7464,-4.02997
347,49.3233,-4.34256
348,52.4788,-4.17691
349,52.3249,-4.4517
350,52.6219,-4.25078
351,53.1285,-4.45589
352,57.9508,-4.41505
353,57.9143,-4.57971
354,58.1096,-4.41633
355,58.5236,-4.57008
356,63.9053,-4.45018
357,63.8453,-4.68132
358,64.1303,-4.47981
359,64.506,-4.77144
360,69.7479,-4.59319
