id,x,y
0,-0.116423,-0.304679
1,0.174898,-0.427289
3,0.333845,-0.320477
5,7.17048,0.935303
7,7.34088,0.955793
8,12.974,1.56455
9,13.2587,1.52148
11,13.3038,1.41139
12,18.9386,2.04926
13,19.0229,1.87756
15,19.2061,1.92106
16,24.7953,2.53662
17,26.1393,2.61098
19,25.1948,2.41206
20,30.9526,3.10219
21,30.9836,2.94677
22,31.6639,3.01517
23,31.1574,2.8963
24,36.9318,3.56998
25,37.0311,3.46054
26,37.561,3.53578
27,37.1161,3.37451
28,42.8119,4.03343
29,42.9145,3.91458
31,43.2816,3.99172
32,48.1981,4.47563
33,48.4884,4.33017
35,48.5021,4.27013
36,52.1344,4.76176
37,52.152,4.62796
39,52.5094,4.62944
40,60.6356,5.46285
41,60.8545,5.34425
43,60.9617,5.31179
44,66.7094,5.9408
45,66.8041,5.81261
46,67.4624,6.04591
47,66.9406,5.74376
48,72.62,6.38972
49,72.6501,6.24672
50,73.5114,6.52599
51,72.9178,6.25202
52,78.4147,6.91713
53,78.2863,6.72148
55,78.6167,6.65056
56,84.3133,7.28955
57,84.3839,7.16988
59,84.6108,7.16587
60,90.2354,7.76175
61,90.4496,7.66577
63,90.7632,7.83583
64,96.2128,8.23921
65,96.4742,8.08105
67,96.7594,8.25774
68,101.73,8.59962
69,101.537,8.4243
71,102.446,8.6386
72,105.567,8.88531
73,105.614,8.78281
75,105.857,8.76008
76,114.272,9.57512
77,115.098,9.55673
79,114.496,9.40078
80,120.02,9.96817
81,120.495,9.971
83,120.407,9.81799
84,125.983,10.3658
85,126.333,10.396
87,126.384,10.2553
88,132.238,10.8338
89,132.276,10.6687
91,132.407,10.6743
92,138.078,11.2523
93,138.157,11.1301
95,138.366,11.0741
96,144.122,11.676
97,144.368,11.5671
99,144.354,11.4712
100,148.555,11.9381
101,148.468,11.7487
103,148.753,11.809
104,0.181941,-1.24643
105,0.369977,-1.43199
106,0.405475,-1.13309
107,0.398594,-1.29566
108,4.36587,-0.528987
109,4.87955,-0.95065
110,5.02962,-0.610144
111,4.87861,-0.808205
112,10.2291,0.33531
113,10.3069,0.206074
114,10.9348,0.00998382
115,11.1052,-0.0916462
116,16.2329,0.797859
117,16.2007,0.698531
118,16.7971,0.657771
119,16.7137,0.537755
120,22.2856,1.28182
121,22.0903,1.15285
122,22.3427,1.38671
123,22.7701,1.08566
124,28.0881,1.7742
125,28.1133,1.63055
126,28.2699,1.8787
127,28.6234,1.56261
128,34.3571,2.24292
129,34.0182,2.13709
130,34.2272,2.33466
131,34.7848,2.0715
132,40.3413,2.71908
133,40.119,2.56015
134,40.1992,2.85589
135,40.6201,2.59138
136,48.6729,3.51428
137,48.4495,3.299
138,48.6204,3.5104
139,49.1344,3.37918
140,52.2545,3.73375
141,52.312,3.59449
142,52.5981,3.8517
143,53.0414,3.69741
144,57.8382,4.22602
145,57.7572,4.05322
146,58.107,4.29755
147,58.516,4.059
148,64.0311,4.69005
149,63.9943,4.54647
150,64.4381,4.76165
152,69.7724,5.14809
153,69.6538,5.00923
154,70.5208,5.30256
155,70.4195,5.14525
157,75.8573,5.46701
158,76.7052,5.8235
159,76.5103,5.683
