id,x,y
0,0.230286,-0.166025
1,0.266604,-0.298043
3,0.441705,-0.203549
5,7.36507,0.802987
7,7.64002,0.693285
8,13.286,1.55218
9,13.3468,1.44132
11,13.5368,1.37831
12,19.1971,2.19456
13,19.2508,2.05934
15,19.3991,2.01859
16,25.1024,2.78055
17,25.1586,2.66026
19,25.3823,2.58353
20,31.0882,3.35161
21,31.1262,3.22864
22,31.6204,3.19332
23,31.2894,3.20169
24,37.001,4.01146
25,37.0581,3.89434
26,37.4445,3.8357
27,37.2005,3.75923
28,42.8664,4.60303
29,42.8281,4.46391
31,43.102,4.43442
32,48.2849,5.09066
33,48.3804,4.98774
35,48.5015,4.94264
36,52.1758,5.38714
37,51.9364,5.24824
39,52.5078,5.22073
40,60.6936,5.98792
41,60.7969,5.87734
43,60.9767,5.84665
44,66.6957,6.64355
45,66.7202,6.51587
46,67.186,6.61859
47,66.8909,6.55831
48,72.6263,7.28952
49,72.5385,7.12825
50,73.4141,7.10013
51,72.9509,7.2088
52,78.3623,7.7749
53,78.2695,7.60297
55,78.574,7.61059
56,84.2465,8.22294
57,84.3309,8.09775
59,84.5296,8.0964
60,90.1842,8.80243
61,90.1799,8.66306
63,90.6417,8.621
64,96.0766,9.42675
65,96.2168,9.34342
67,96.4702,9.45773
68,101.453,10.0332
69,101.354,9.84525
71,101.965,9.81524
72,105.3,10.3311
73,105.373,10.2244
75,105.569,10.1147
76,113.87,10.9303
77,114.027,10.8801
79,114.087,10.8925
80,119.73,11.5351
81,119.796,11.4194
83,119.918,11.4879
84,125.658,12.2706
85,125.757,12.1799
87,125.883,12.1368
88,131.622,12.777
89,131.715,12.6808
91,131.817,12.6825
92,137.486,13.2976
93,137.528,13.187
95,137.704,13.2009
96,143.53,13.4178
97,143.61,13.3304
99,143.731,13.2899
100,147.931,13.0748
101,147.817,12.9029
103,148.143,12.7574
104,0.401054,-1.12625
105,0.448134,-1.26793
106,0.547831,-1.01899
107,0.448329,-1.15725
108,4.71746,-0.636451
109,4.90898,-0.809275
110,5.02223,-0.698259
111,4.95109,-0.840869
112,10.5289,0.166758
113,10.6098,0.0338561
114,10.8994,0.0942085
115,10.9275,-0.0550612
116,16.527,0.860967
117,16.5359,0.716625
118,16.8642,0.742809
119,16.6741,0.616697
120,22.4619,1.44722
121,22.2262,1.35902
122,22.5372,1.4472
123,22.6485,1.2609
124,28.3227,2.03647
125,28.1711,1.9311
126,28.4574,1.96806
127,28.5464,1.78158
128,34.2118,2.6294
129,34.0467,2.52786
130,34.3754,2.54644
131,34.4686,2.3652
132,40.293,3.2231
133,40.1591,3.09549
134,40.2515,3.17657
135,40.3621,3.00678
136,48.6504,4.05877
137,48.4793,3.95206
138,48.6401,4.06292
139,48.8032,3.88024
140,52.3688,4.3742
141,52.3575,4.24771
142,52.6096,4.34379
143,52.6897,4.18223
144,57.8451,4.78209
145,57.6409,4.71081
146,58.1215,4.66407
147,58.256,4.47756
148,63.9783,5.24382
149,63.8124,5.14415
150,64.2399,5.21857
152,69.8241,5.96237
153,69.8039,5.80886
154,70.2361,5.98334
155,70.2479,5.82517
157,75.8118,6.36678
158,76.2489,6.45865
159,76.2268,6.2966
160,81.4392,6.99709
161,81.3752,6.8846
162,81.6579,6.91799
163,81.8131,6.74777
164,87.3392,7.50482
165,87.2801,7.36707
166,87.7461,7.48196
167,87.7734,7.32728
168,93.3173,8.07695
169,93.2013,7.96599
170,93.6952,8.10404
171,93.6875,7.95667
172,101.746,9.01735
173,101.644,8.88496
174,102.029,8.9036
175,102.01,8.77114
176,105.436,9.30143
177,105.505,9.15246
178,105.895,9.19921
179,105.931,9.08806
180,111.159,9.75212
181,111.08,9.62042
182,111.233,9.77768
183,111.444,9.60518
184,116.904,10.2085
185,116.936,10.0724
186,117.317,10.2539
187,117.305,10.109
188,122.911,10.8793
189,122.888,10.734
190,123.101,10.8765
191,123.147,10.7261
192,128.816,11.5062
193,128.756,11.3942
194,129.104,11.4827
195,129.092,11.3511
196,134.692,12.0115
197,134.718,11.8596
198,134.793,12.058
199,134.866,11.9128
200,140.514,12.4271
201,140.331,12.3496
202,140.772,12.4707
203,140.707,12.3521
204,147.853,12.0502
205,147.843,11.9034
206,147.918,11.7745
207,148.007,11.6643
208,0.603982,-2.1817
209,0.549854,-2.37411
210,0.700792,-2.10278
211,0.731896,-2.25385
212,7.87113,-1.2388
213,7.81836,-1.48447
214,8.04601,-1.2722
215,8.14741,-1.46792
216,13.7447,-0.503847
217,13.7785,-0.674725
218,13.9236,-0.586952
219,14.0714,-0.734932
220,19.6538,0.145356
221,19.745,0.0202405
222,19.8474,0.0226124
223,20.016,-0.102065
224,25.5298,0.733789
225,25.6192,0.681989
226,25.7059,0.605568
227,25.8455,0.471942
228,31.5445,1.29046
229,31.5851,1.30968
230,31.7475,1.17257
231,31.9084,1.08204
232,37.5198,1.91107
233,37.4144,1.92712
234,37.5954,1.83853
235,37.6226,1.70706
236,43.3355,2.5036
237,43.2534,2.46432
238,43.4878,2.49528
239,43.5939,2.38732
240,48.676,3.00134
241,48.6311,3.45213
242,48.8519,2.93791
243,49.0694,2.90121
244,52.616,3.32868
245,52.5599,3.65587
246,52.8006,3.25901
247,52.9155,3.14832
248,61.1712,3.93685
249,61.3147,3.96156
250,61.3615,3.88679
251,61.4677,3.77735
252,67.1281,4.57441
253,67.0581,5.10442
254,67.3048,4.59636
255,67.5752,4.54553
256,73.0514,5.22458
257,72.8591,5.98723
258,73.2614,5.16322
259,73.4849,5.07389
260,78.6354,5.6887
261,78.3669,6.77731
262,78.8672,5.5834
263,78.9717,5.4588
264,84.5393,6.17665
265,84.3553,7.22919
266,84.706,6.08422
267,84.9418,5.9653
268,90.4847,6.72414
269,90.3691,8.02867
270,90.7105,6.65444
271,90.8869,6.56751
272,96.5428,7.37237
273,96.2287,8.56663
274,96.6527,7.49425
275,96.8002,7.40615
276,101.727,8.0121
277,101.673,9.37945
278,101.921,7.84226
279,102.086,7.74229
280,105.665,8.27143
281,105.761,9.53177
282,105.836,8.12203
283,106.045,8.04069
284,114.102,8.90329
285,113.977,11.1186
286,114.22,8.83525
287,114.545,8.78435
288,120.095,9.4524
289,120.014,11.5142
290,120.281,9.46752
291,120.387,9.35438
292,125.927,10.2255
293,125.433,12.825
294,126.114,10.1701
295,126.227,10.0637
