time,x,y,theta
1732883318.923543,0.003099,0.013861,-0.001831
1732883319.023449,-0.015098,0.005847,-0.000716
1732883319.123483,-0.013287,0.009989,-0.001005
1732883319.223483,-0.001286,0.005162,0.000139
1732883319.323455,-0.019909,-0.001805,0.000091
1732883319.423434,-0.014186,0.003222,0.000017
1732883319.523433,0.003985,-0.010788,0.001232
1732883319.623465,-0.011111,-0.008392,0.000971
1732883319.723471,-0.014343,-0.002051,-0.000028
1732883319.823518,-0.010201,-0.014431,0.001786
1732883319.923456,-0.012581,0.020584,-0.003138
1732883320.023443,-0.003275,0.005586,-0.000430
1732883320.123437,-0.009257,-0.030417,0.004611
1732883320.223395,-0.020580,0.001676,-0.000210
1732883320.323424,-0.008351,0.008738,-0.000755
1732883320.423462,-0.026740,-0.011271,0.002094
1732883320.523451,-0.018809,0.028320,-0.003724
1732883320.623522,-0.003882,0.004823,-0.000206
1732883320.723454,0.014173,0.018244,-0.002098
1732883320.823485,-0.009772,0.013233,-0.001231
1732883320.923486,-0.005634,0.016207,-0.001952
1732883321.023498,-0.001913,0.012457,-0.001501
1732883321.123598,-0.014337,0.000772,0.000116
1732883321.223635,0.005983,0.007174,-0.000808
1732883321.323533,-0.023535,-0.001772,0.000848
1732883321.423482,-0.018061,0.000132,0.000336
1732883321.523716,-0.003732,0.011886,-0.001828
1732883321.623637,-0.004241,0.010019,-0.001009
1732883321.723561,-0.001323,-0.003122,0.000715
1732883321.823464,-0.025676,0.002615,0.000146
1732883321.923555,-0.012214,0.004063,-0.000668
1732883322.023475,-0.026319,0.004007,-0.000229
1732883322.123582,-0.007589,-0.002154,0.000507
1732883322.223537,-0.039804,-0.013226,0.002067
1732883322.323573,0.002378,0.008420,-0.000056
1732883322.423511,-0.012507,0.006739,-0.000424
1732883322.523525,-0.015327,0.004069,-0.001004
1732883322.623476,-0.018047,0.002399,0.000255
1732883322.723570,-0.028426,0.000549,0.000333
1732883322.823489,0.008522,0.004440,-0.000160
1732883322.923635,0.004042,0.038400,-0.005534
1732883323.023718,-0.004188,0.009827,-0.001126
1732883323.123681,0.016028,-0.003498,0.001274
1732883323.223644,-0.032689,-0.023564,0.003966
1732883323.323692,-0.028351,-0.010508,0.002178
1732883323.423664,-0.008871,0.005549,-0.000262
1732883323.523676,-0.007790,-0.000347,0.000635
1732883323.623641,0.005543,-0.005772,0.001313
1732883323.723607,0.016065,0.001221,0.000667
1732883323.823645,-0.001363,0.012428,-0.001221
1732883323.923624,-0.005745,0.001953,0.000831
1732883324.023654,-0.002721,0.001159,0.000368
1732883324.123629,-0.010657,-0.006355,0.002022
1732883324.223659,-0.004254,-0.001368,0.001469
1732883324.323630,-0.000676,-0.003757,0.001913
1732883324.423635,-0.013264,-0.013293,0.002989
1732883324.523704,0.011157,-0.010299,0.002471
1732883324.623657,-0.002425,0.008852,0.000147
1732883324.723703,-0.000505,0.004411,0.000393
1732883324.823666,0.009057,0.008046,0.000585
