id,x,y
0,0.0734843,-0.633209
1,0.134313,-0.746581
3,0.347763,-0.711008
5,7.37099,0.295417
7,7.61308,0.131089
8,13.2798,1.08292
9,13.3343,0.964121
11,13.5312,0.883363
12,19.2143,1.76053
13,19.2876,1.6322
15,19.4465,1.57891
16,25.1301,2.34963
17,25.2592,2.24724
19,25.445,2.11794
20,31.1995,2.95618
21,31.2036,2.81937
22,31.5972,2.77356
23,31.3939,2.72599
24,37.1494,3.46223
25,37.1811,3.33418
26,37.5527,3.32506
27,37.3596,3.24332
28,43.0047,3.93517
29,43.045,3.81837
31,43.2713,3.77301
32,48.3985,4.4161
33,48.4799,4.30968
35,48.6802,4.25116
36,52.3507,4.73026
37,52.2169,4.60831
39,52.6212,4.60115
40,60.8395,5.4548
41,60.9345,5.33741
43,61.0888,5.3199
44,66.8332,6.04296
45,66.8584,5.91451
46,67.1465,6.02748
47,67.0103,5.92914
48,72.7962,6.58422
49,72.82,6.45855
50,73.2453,6.52341
51,73.0035,6.4592
52,78.4777,7.25138
53,78.4861,7.11352
55,78.7352,7.3408
56,84.3474,7.71218
57,84.5489,7.624
59,84.7407,7.67524
60,90.4078,7.98073
61,90.4859,7.86347
63,90.95,8.03431
64,96.334,8.25655
65,96.4296,8.14621
67,96.8317,8.20538
68,101.656,8.56771
69,101.704,8.44261
71,102.263,8.50693
72,105.478,8.89112
73,105.456,8.74041
75,105.762,8.73918
76,114.207,9.42683
77,114.324,9.32877
79,114.371,9.37521
80,120.087,9.84003
81,120.165,9.73355
83,120.322,9.73234
84,126.051,10.2492
85,126.071,10.1239
87,126.26,10.0636
88,132.041,10.6076
89,132.139,10.5105
91,132.215,10.4599
92,137.931,10.9545
93,137.985,10.8351
95,138.158,10.805
96,143.866,11.348
97,143.911,11.2342
99,144.081,11.2072
100,148.239,11.6895
101,148.207,11.5214
103,148.46,11.5893
104,0.232061,-1.60196
105,0.312896,-1.75271
106,0.467737,-1.52732
107,0.39176,-1.67075
108,4.72405,-1.23267
109,4.82816,-1.3672
110,4.98426,-1.25201
111,4.92139,-1.3974
112,10.512,-0.294263
113,10.5871,-0.478793
114,10.8873,-0.469125
115,10.814,-0.61045
116,16.5169,0.415032
117,16.4878,0.2737
118,16.8351,0.223543
119,16.6713,0.090264
120,22.4893,1.01292
121,22.2297,0.933611
122,22.5246,1.01251
123,22.6355,0.813505
124,28.308,1.60061
125,28.2155,1.4887
126,28.5108,1.54527
127,28.5572,1.34986
128,34.3217,2.13961
129,34.2447,2.0166
130,34.4624,2.04745
131,34.5596,1.85762
132,40.4141,2.58212
133,40.3201,2.44101
134,40.3523,2.56612
135,40.4697,2.38126
136,48.7973,3.37818
137,48.6014,3.26619
138,48.7797,3.3883
139,48.901,3.1905
140,52.5249,3.70963
141,52.5113,3.58117
142,52.7254,3.74662
143,52.7496,3.58441
144,57.9995,4.22146
145,57.8823,4.11568
146,58.2446,4.14346
147,58.3029,3.9723
148,64.0575,4.70272
149,63.9852,4.58955
150,64.3201,4.63463
152,69.9556,5.29852
153,69.9266,5.1485
154,70.4751,5.12825
155,70.3759,5.08347
157,75.943,5.74904
