id,x,y
1,-0.834059,2.79073
3,-0.37716,2.94441
5,7.16122,2.97469
7,7.23165,3.0749
9,13.3634,3.19586
11,13.3052,3.18891
13,18.8779,3.05862
15,19.2866,3.18985
17,24.8725,3.11035
19,25.2324,3.39524
21,31.0311,3.3018
23,31.3127,3.47023
25,37.0102,3.39349
27,37.2867,3.51778
29,43.0261,3.51841
31,43.1556,3.57341
33,48.6953,3.71153
35,48.644,3.73228
37,52.4977,3.69898
39,52.606,3.76742
41,60.9331,3.83293
43,61.0791,3.9512
45,66.8589,3.92985
47,67.2426,4.03467
49,73.0982,4.06276
51,73.2595,4.20165
53,78.5917,4.08696
55,79.0746,4.28775
57,84.9402,4.35924
59,85.0188,4.35575
61,90.678,4.31221
63,90.9769,4.38694
65,96.8327,4.40337
67,97.0235,4.56686
69,102.37,4.54776
71,102.57,4.60308
73,106.076,4.53907
75,106.342,4.73356
77,114.683,4.59299
79,114.908,4.76345
81,120.755,4.77436
83,120.946,4.88647
85,126.548,4.73858
87,126.948,5.01583
89,132.99,5.01428
91,132.891,5.04558
93,138.612,4.98172
95,138.879,5.13731
97,144.629,5.04883
99,144.993,5.22558
101,149.238,5.2104
103,149.415,5.42541
105,-0.749385,1.90025
107,-0.339492,1.98962
109,4.09397,1.90329
111,4.34587,1.98929
112,9.92207,2.09004
113,10.164,2.00255
115,10.2789,2.08209
117,16.1327,2.02726
119,16.3159,2.14768
121,22.1537,2.19059
123,22.224,2.17798
125,28.0699,2.27074
127,28.2233,2.28927
129,34.099,2.33983
131,34.3274,2.44826
133,40.037,2.36986
135,40.3217,2.5197
137,48.5896,2.57173
139,48.7797,2.73808
141,52.4195,2.61966
143,52.6656,2.73861
145,57.8155,2.79836
147,58.1926,2.79953
149,64.0873,2.92409
151,64.2638,2.9757
153,69.9243,3.0267
155,70.3181,3.07147
157,76.0496,3.14665
159,76.3861,3.22371
161,81.758,3.18736
163,81.9468,3.27936
165,87.8116,3.28346
167,88.0382,3.39052
169,93.7102,3.30968
171,93.9918,3.45556
173,102.37,3.47718
175,102.5,3.57242
176,106.252,3.68722
177,106.117,3.46831
179,106.363,3.65917
181,111.87,3.59645
183,111.983,3.72844
185,117.655,3.6547
187,117.959,3.75072
189,123.796,3.77983
191,123.913,3.80416
193,129.671,3.83144
195,129.966,3.95456
197,136.027,4.05178
199,135.929,4.0191
201,141.646,4.04714
203,141.968,4.19347
205,149.211,4.16583
207,149.406,4.29343
209,-0.346157,0.878295
211,-0.201617,0.886786
212,7.33113,1.09805
213,7.12423,0.824442
214,7.26219,1.2678
215,7.29737,0.946404
216,13.4034,1.14372
217,13.0677,0.93383
219,13.429,1.09708
220,19.1975,1.21265
221,19.2609,1.07915
223,19.5145,1.19523
224,25.2336,1.31522
225,25.1924,1.11573
227,25.4364,1.24099
228,31.3955,1.4113
229,31.369,1.27029
231,31.433,1.34524
232,37.2073,1.49638
233,37.2906,1.35586
235,37.4065,1.45374
236,43.1301,1.62742
237,43.1591,1.43593
239,43.4315,1.56341
240,48.448,1.69588
241,48.55,1.45325
243,48.8764,1.60312
244,52.4562,1.73886
245,52.5824,1.56518
247,52.7242,1.71676
248,61.1391,1.92574
249,61.1954,1.79562
251,61.4023,1.91367
252,67.0746,2.00479
253,67.0877,1.89195
255,67.4483,2.01658
256,73.1427,2.12614
257,73.4071,2.00935
259,73.3253,2.07414
260,78.734,2.2571
261,78.7987,2.08941
263,79.0325,2.20739
264,84.8664,2.3501
265,84.4614,2.15227
267,85.0625,2.25403
268,90.7001,2.44744
269,90.8491,2.27385
271,91.0743,2.3733
272,96.8335,2.54492
273,96.8503,2.41512
275,97.0231,2.43445
276,102.236,2.65904
277,102.243,2.42949
279,102.481,2.57182
280,106.12,2.68004
281,107.43,2.68378
283,106.378,2.58504
284,114.885,2.74242
285,114.821,2.59906
287,114.97,2.699
288,120.686,2.86355
289,120.887,2.68279
291,120.976,2.78096
292,126.681,2.90522
293,126.573,2.74387
295,126.988,2.89739
296,132.764,3.00051
297,132.942,2.89282
299,132.948,3.00992
300,138.683,3.10545
301,138.885,2.99249
303,138.944,3.10634
304,144.642,3.16428
305,144.639,3.02778
307,145.048,3.16669
308,149.246,3.27048
309,149.218,3.08544
310,149.435,3.64172
311,149.385,3.25294
312,-0.220881,-0.905096
313,-0.464424,-1.22279
314,-0.0810955,-0.891205
315,-0.273934,-0.929705
316,4.27273,-1.02776
317,4.33415,-1.31635
318,4.55315,-0.862088
319,4.25029,-0.91508
320,10.3955,-0.99352
321,10.4077,-1.12827
322,10.5055,-0.759168
323,10.4476,-0.870888
324,16.4598,-0.910108
325,16.1872,-0.945865
326,16.5945,-0.63644
327,16.3899,-0.696103
328,22.3477,-0.76873
329,22.4327,-0.852414
330,22.6027,-0.550685
331,22.2552,-0.602048
332,28.5339,-0.724477
333,28.4127,-0.848075
334,28.5536,-0.44228
335,28.4583,-0.473891
336,34.4409,-0.586889
337,34.3008,-0.665349
338,34.5576,-0.364017
339,34.3681,-0.391219
340,40.4004,-0.522363
341,40.3086,-0.6126
342,40.5762,-0.241594
343,40.774,-0.337231
344,48.5425,-0.368934
345,48.6505,-0.416487
346,48.9401,-0.101433
347,48.9912,-0.172738
348,52.5412,-0.158821
349,52.6275,-0.322761
350,52.8845,-0.0128772
351,52.8907,-0.106877
352,58.066,-0.135835
353,58.1931,-0.276262
354,58.514,0.074824
355,58.3555,-0.0385387
356,64.2859,-0.0868688
357,64.1512,-0.105191
358,64.4084,0.184529
359,64.3019,0.0759332
360,70.1107,0.157815
361,70.1794,-0.139481
362,70.6014,0.276487
363,70.2924,0.26097
364,76.0695,0.228844
365,76.3821,0.00181997
366,76.6506,0.344
367,76.3227,0.297714
368,81.8695,0.241693
369,81.8341,0.095303
370,82.0385,0.467997
371,81.9719,0.430664
372,88.2627,0.27376
373,87.8524,0.279337
374,88.1783,0.535002
375,87.8487,0.436115
376,93.7364,0.455154
377,94.1889,0.291774
378,94.0411,0.644068
379,94.1148,0.597273
380,102.138,0.574697
381,102.314,0.473664
382,102.398,0.717636
383,102.35,0.705384
384,105.994,0.690104
385,106.283,0.518844
386,106.405,0.822412
387,106.369,0.748164
388,111.865,0.664657
389,111.947,0.512855
390,111.951,0.889916
391,112.108,0.86902
392,117.422,0.793404
393,117.699,0.637828
394,117.957,0.972818
395,117.88,0.917555
396,123.465,0.891848
397,124.064,0.663472
398,124.059,1.07132
399,123.654,1.0403
400,129.796,0.893327
401,129.631,0.708125
402,129.915,1.1554
403,129.633,1.13236
404,136.536,0.885481
405,135.788,0.904404
406,135.913,1.25583
407,135.778,1.24775
408,141.686,1.07936
409,141.58,1.0552
410,141.931,1.33331
411,141.724,1.28308
412,149.127,1.20598
413,149.325,1.12715
414,149.409,1.4281
415,149.531,1.17511
416,-0.488165,-1.98062
417,-0.481255,-2.36289
418,-0.0699525,-1.91855
419,-0.183194,-2.06861
421,7.36659,-2.05336
422,7.4267,-2.23624
423,7.50866,-1.9078
424,7.50178,-1.95358
425,13.5329,-1.96313
426,13.619,-2.11909
427,13.6697,-1.72242
428,13.5056,-1.76237
429,19.4268,-1.86033
430,19.4859,-2.03539
431,19.7303,-1.63811
432,19.4173,-1.71947
433,25.3486,-1.76052
434,25.5808,-1.9074
435,25.655,-1.52041
436,25.4593,-1.58642
437,31.5229,-1.65944
438,31.6315,-1.79388
439,31.6928,-1.43322
440,31.419,-1.47128
441,37.4349,-1.58588
442,37.5407,-1.71715
443,37.6683,-1.36809
444,37.565,-1.40188
445,43.4998,-1.43618
446,43.4113,-1.61281
447,43.5466,-1.2344
448,43.2988,-1.34612
449,48.8142,-1.41001
450,48.8567,-1.49407
451,48.9938,-1.17018
452,48.9932,-1.31545
453,52.8079,-1.20655
454,52.6666,-1.50521
455,52.952,-1.09646
456,52.9367,-1.13883
457,61.4035,-1.12242
458,61.2268,-1.32141
459,61.4313,-0.915009
460,61.4528,-1.09274
461,67.386,-1.04332
462,67.7421,-1.18073
463,67.5972,-0.840642
464,67.4649,-0.899791
465,73.4503,-0.962982
466,73.5093,-1.11954
467,73.6303,-0.721872
468,73.6408,-0.776577
469,78.7852,-0.796197
470,78.8715,-1.0519
471,78.9842,-0.659635
472,78.8011,-0.672926
473,84.853,-0.761745
474,85.0094,-0.901199
476,84.7829,-0.607743
477,90.647,-0.597506
478,90.8844,-0.757511
479,91.0701,-0.445288
480,90.8435,-0.602179
481,96.9986,-0.534443
482,96.7852,-0.73723
483,97.1151,-0.359371
484,96.9613,-0.448033
485,102.39,-0.570889
486,102.219,-0.661421
487,102.448,-0.215944
488,102.387,-0.455178
489,106.359,-0.460625
490,106.251,-0.540751
491,106.418,-0.271988
492,106.105,-0.324344
493,114.81,-0.325836
494,114.924,-0.481457
495,114.903,-0.167949
496,115.033,-0.153435
497,120.883,-0.268754
498,120.78,-0.393673
499,120.939,-0.0206646
500,120.794,-0.0981125
501,126.89,-0.201559
502,126.935,-0.288444
503,126.983,0.0376146
504,126.726,0.0203846
505,132.701,-0.04589
506,132.714,-0.230701
507,132.871,0.207819
508,132.772,0.102521
509,138.828,-0.0218622
510,138.997,-0.133809
511,138.914,0.142985
512,138.755,0.182859
513,144.662,0.154827
514,144.958,-0.035775
515,144.931,0.333601
516,145.026,0.323601
517,149.147,0.149433
518,149.211,-0.0113564
519,149.372,0.431684
520,149.315,0.154496
521,-0.374434,-3.13024
522,-0.198033,-3.41354
523,-0.00972828,-3.02447
524,-0.205042,-3.14494
525,4.47634,-2.95504
526,4.35529,-3.31936
527,4.72923,-2.97679
528,4.53823,-3.03981
529,10.4804,-3.04583
530,10.3329,-3.10155
531,10.7314,-2.78235
532,10.6977,-2.87199
533,16.4965,-2.95891
534,16.5761,-3.09801
535,16.7226,-2.70595
536,16.6853,-2.84768
537,22.4704,-2.86257
538,22.4867,-2.95276
539,22.7072,-2.64542
541,28.6023,-2.82829
542,28.5494,-2.83906
543,28.7826,-2.45743
544,28.7791,-2.58512
545,34.4052,-2.64991
546,34.6989,-2.75514
547,34.6574,-2.41875
548,34.5908,-2.52848
549,40.4769,-2.5866
550,40.5513,-2.65527
551,40.7176,-2.31585
552,40.5136,-2.41081
553,49.1096,-2.49025
554,49.2486,-2.57945
555,49.0592,-2.23753
557,52.6723,-2.11363
558,52.8034,-2.49073
559,52.9804,-2.11724
560,53.1027,-2.18132
561,58.1657,-2.20541
562,58.5092,-2.3427
563,58.6553,-2.05468
564,58.6199,-2.1009
565,64.538,-2.28855
566,64.4528,-2.21871
567,64.5521,-1.91578
568,64.606,-1.99779
569,70.2617,-1.97301
570,70.3403,-2.15525
571,70.6818,-1.81104
573,76.5258,-1.94532
574,76.4232,-2.06273
575,76.7544,-1.6966
577,81.9279,-1.89848
578,81.9538,-1.9621
579,82.1109,-1.62617
580,81.9639,-1.75383
581,87.6925,-1.7296
582,87.9061,-1.83182
583,88.0433,-1.45754
584,88.0313,-1.63005
585,93.5186,-1.57469
586,93.9876,-1.78941
587,94.0105,-1.45198
588,93.783,-1.54675
589,102.181,-1.51512
590,102.287,-1.66476
591,102.394,-1.24616
593,106.805,-1.80394
594,106.021,-1.61898
595,106.377,-1.24516
597,112.074,-1.56169
598,111.836,-1.46318
599,111.979,-1.12799
600,111.88,-1.29674
601,117.613,-1.27861
602,117.876,-1.36467
603,117.948,-1.17833
605,123.477,-1.14579
606,123.834,-1.35587
607,123.893,-1.01325
609,129.723,-1.17883
610,129.87,-1.2977
611,129.994,-0.910589
613,135.89,-1.18894
614,135.775,-1.1445
615,135.938,-0.833771
616,135.871,-0.939944
617,141.849,-1.07171
618,141.949,-1.15632
619,141.968,-0.781395
621,149.167,-0.912463
622,149.281,-1.04681
623,149.406,-0.57135
624,149.184,-0.898817
