id,x,y
0,-0.655742,3.12265
1,-0.577974,3.07303
2,-0.428354,3.14029
3,-0.325725,2.99983
5,7.0825,3.08434
7,7.26146,3.117
9,13.1057,3.16858
11,13.2827,3.2064
13,19.0589,3.23864
15,19.2813,3.26944
17,24.9909,3.32632
18,25.2685,3.48599
19,25.2163,3.43249
21,31.0654,3.4565
22,31.3309,3.59045
23,31.2464,3.46666
25,37.0612,3.56927
26,37.2904,3.71895
27,37.2196,3.57573
29,42.948,3.67294
30,43.1872,3.85482
31,43.1489,3.7176
32,49.9405,4.54892
33,48.4816,3.75683
35,48.6353,3.73678
37,52.3517,3.80739
38,52.5417,3.97684
39,52.5633,3.83138
40,60.8548,4.11156
41,60.9059,3.96722
42,61.0063,4.17656
43,61.0693,4.01594
45,66.935,4.07014
47,67.1498,4.14111
49,72.9307,4.16678
50,73.2141,4.3111
51,73.1372,4.18899
53,78.6861,4.25548
54,78.9226,4.42703
55,78.8785,4.29679
57,84.6901,4.38706
58,84.8826,4.51646
59,84.8929,4.37373
61,90.6599,4.47444
62,90.8665,4.62773
63,90.8481,4.4931
65,96.6447,4.55208
66,96.8116,4.74529
67,96.8284,4.58924
68,102.08,4.74873
69,102.109,4.60428
70,102.38,4.84232
71,102.306,4.6613
73,105.977,4.64293
74,106.251,4.8529
75,106.167,4.71261
77,114.579,4.83464
78,114.843,4.95597
79,114.748,4.82184
81,120.505,4.90081
82,120.753,5.0248
83,120.685,4.8929
85,126.451,4.93989
87,126.767,5.02694
89,132.507,5.04033
90,132.723,5.19885
91,132.693,5.07105
93,138.427,5.10241
94,138.646,5.2701
95,138.628,5.14811
97,144.486,5.21625
98,144.687,5.38091
99,144.678,5.23543
100,148.89,5.3884
101,148.947,5.25611
103,149.149,5.43553
104,-0.410258,2.13076
105,-0.404385,1.96194
106,-0.338325,2.13643
107,-0.281917,1.99645
108,4.18014,2.14559
109,4.21486,2.01434
110,4.3829,2.16873
111,4.3874,2.03002
112,10.1061,2.18679
113,10.202,2.06265
114,10.3448,2.26044
115,10.3548,2.11453
116,16.1592,2.32048
117,16.1817,2.17657
118,16.4249,2.32437
119,16.3655,2.16277
120,22.2232,2.41678
121,22.1482,2.23259
122,22.3976,2.37841
123,22.3183,2.21466
124,28.1388,2.49025
125,28.0909,2.33102
126,28.3177,2.49964
127,28.2663,2.36223
128,34.1374,2.60955
129,34.1177,2.44567
130,34.2953,2.62921
131,34.2964,2.4775
132,40.1621,2.71408
133,40.108,2.52905
134,40.2479,2.68621
135,40.2714,2.52214
136,48.4906,2.83067
137,48.5328,2.68425
138,48.717,2.83782
139,48.6967,2.65958
140,52.4931,2.91323
141,52.4413,2.7447
142,52.707,2.94397
143,52.6478,2.76659
144,58.0426,3.07255
145,57.9337,2.91607
146,58.1978,3.03166
147,58.1512,2.8857
148,64.0267,3.11302
149,64.0029,2.96855
150,64.2507,3.174
151,64.1833,3.002
152,70.1517,3.29439
153,70.0049,3.09958
154,70.1974,3.23579
155,70.1883,3.10283
156,76.0781,3.34612
157,76.0019,3.1879
158,76.2265,3.33856
159,76.218,3.18129
160,81.7488,3.44014
161,81.7318,3.287
162,81.9765,3.44038
163,81.9088,3.29295
164,87.703,3.5436
165,87.7362,3.38763
166,87.9272,3.55143
167,87.8777,3.38485
168,93.6907,3.60509
169,93.6671,3.4531
170,93.9024,3.61886
171,93.8288,3.46107
172,102.094,3.73281
173,102.102,3.58737
174,102.303,3.7508
175,102.267,3.57899
176,105.955,3.7231
177,106.014,3.58634
178,106.232,3.83957
179,106.158,3.6539
180,111.619,3.86981
181,111.622,3.71749
182,111.773,3.88775
183,111.782,3.73904
184,117.533,3.9246
185,117.572,3.78116
186,117.739,3.96354
187,117.74,3.805
188,123.557,4.03026
189,123.566,3.87198
190,123.672,3.9774
191,123.704,3.84659
192,129.514,4.08863
193,129.518,3.95491
194,129.714,4.14392
195,129.674,3.98673
196,135.498,4.19218
197,135.526,4.04013
198,135.725,4.2068
199,135.679,4.03805
200,141.462,4.26949
201,141.477,4.11972
202,141.632,4.3124
203,141.634,4.16267
204,148.851,4.34013
205,148.942,4.21124
206,149.168,4.53095
207,149.101,4.40788
208,-0.334926,1.00919
209,-0.286157,0.864765
210,-0.177024,1.05188
211,-0.183774,0.912172
212,7.25936,1.14213
213,7.23678,0.965822
214,7.45276,1.16364
215,7.39096,1.00452
216,13.2827,1.21006
217,13.3177,1.0524
218,13.3798,1.2154
219,13.4747,1.10895
220,19.3082,1.3147
221,19.3504,1.16086
222,19.5217,1.35085
223,19.5085,1.20463
224,25.2618,1.38586
225,25.2575,1.22992
226,25.3995,1.44432
227,25.4184,1.28639
228,31.2966,1.51739
229,31.2971,1.3695
230,31.4666,1.55086
231,31.4617,1.40804
232,37.2402,1.59434
233,37.2638,1.44488
234,37.4168,1.61611
235,37.4325,1.49643
236,43.2185,1.71491
237,43.2202,1.56338
238,43.3909,1.74058
239,43.3741,1.59825
240,48.5915,1.77075
241,48.6345,1.60826
242,48.7813,1.77825
243,48.7955,1.61312
244,52.5765,1.8414
245,52.5891,1.69934
246,52.77,1.89173
247,52.7544,1.74769
248,61.1524,2.03692
249,61.1789,1.8943
250,61.3308,2.08745
251,61.3499,1.92052
252,67.1378,2.10122
253,67.1547,1.96266
254,67.4144,2.22283
255,67.3428,2.04371
256,73.1244,2.20983
257,73.1324,2.0519
258,73.2645,2.27953
259,73.2823,2.11195
260,78.7392,2.32066
261,78.7442,2.17698
262,78.9053,2.35867
263,78.9236,2.21306
264,84.7285,2.39993
265,84.6886,2.26359
266,84.9119,2.41782
267,84.8948,2.28465
268,90.7285,2.49243
269,90.754,2.34658
270,90.9182,2.55301
271,90.9134,2.42215
272,96.7403,2.59392
273,96.7315,2.43736
274,96.9003,2.62559
275,96.888,2.47503
276,102.091,2.68315
277,102.108,2.54056
278,102.284,2.71371
279,102.295,2.55389
280,106.055,2.70176
281,106.102,2.55802
282,106.245,2.76024
283,106.234,2.64461
284,114.675,2.84904
285,114.694,2.71634
286,114.773,2.89422
287,114.845,2.74636
288,120.594,2.91633
289,120.601,2.77621
290,120.747,2.96694
291,120.767,2.80177
292,126.535,3.02701
293,126.563,2.88201
294,126.693,3.05896
295,126.721,2.9099
296,132.554,3.11402
297,132.6,2.97151
298,132.74,3.16305
299,132.744,3.0281
300,138.474,3.17711
301,138.518,3.04203
302,138.669,3.24645
303,138.679,3.08811
304,144.48,3.23661
305,144.506,3.10215
306,144.685,3.29838
307,144.69,3.14961
308,148.93,3.31043
309,148.946,3.13782
310,149.075,3.41332
311,149.141,3.13626
312,-0.182614,-0.92753
313,-0.0985321,-1.12936
314,-0.026326,-0.946488
315,0.0479968,-1.09556
316,4.45225,-0.937285
317,4.42953,-1.12506
318,4.65342,-0.869948
319,4.57681,-1.00816
320,10.4744,-0.841126
321,10.4746,-1.01273
322,10.6167,-0.83349
323,10.6157,-0.993035
324,16.4567,-0.741218
325,16.4854,-0.923791
326,16.6258,-0.696698
327,16.6433,-0.840913
328,22.4731,-0.677467
329,22.5216,-0.840106
330,22.6487,-0.613866
331,22.6279,-0.778287
332,28.4275,-0.58645
333,28.4791,-0.758201
334,28.5891,-0.48328
335,28.6147,-0.618285
336,34.4252,-0.443539
337,34.4458,-0.600119
338,34.5762,-0.401568
339,34.5776,-0.546673
340,40.4414,-0.354457
341,40.4267,-0.511104
342,40.6199,-0.296965
343,40.6082,-0.441498
344,48.8062,-0.22643
345,48.848,-0.356743
346,48.955,-0.181989
347,49.003,-0.337805
348,52.7281,-0.131274
349,52.7634,-0.294305
350,52.9071,-0.119118
351,52.9344,-0.269067
352,58.2544,-0.0107053
353,58.3207,-0.169685
354,58.488,0.0270458
355,58.4661,-0.12952
356,64.2618,0.0746725
357,64.2397,-0.0897351
358,64.4291,0.109753
359,64.4058,-0.034441
360,70.3055,0.178042
361,70.2914,-0.0229298
362,70.4739,0.222967
363,70.4563,0.0879996
364,76.3088,0.282507
365,76.2988,0.125039
366,76.5148,0.287931
367,76.4634,0.135535
368,81.8242,0.357631
369,81.8266,0.233537
370,81.9902,0.397898
371,82.0158,0.263028
372,87.8137,0.444129
373,87.7858,0.306847
374,87.9934,0.487221
375,87.9589,0.347959
376,93.753,0.537458
377,93.8024,0.353427
378,93.9434,0.588892
379,93.975,0.442856
380,102.111,0.629191
381,102.175,0.516022
382,102.302,0.657896
383,102.344,0.566338
384,106.091,0.671719
385,106.188,0.529708
386,106.3,0.739944
387,106.283,0.590549
388,111.664,0.793391
389,111.664,0.637507
390,111.834,0.838843
391,111.835,0.699854
392,117.646,0.899182
393,117.656,0.748335
394,117.817,0.933365
395,117.824,0.786022
396,123.598,0.996263
397,123.64,0.82079
398,123.818,1.03066
399,123.807,0.877942
400,129.585,1.06537
401,129.611,0.902319
402,129.747,1.11903
403,129.766,0.975764
404,135.605,1.13865
405,135.596,1.0138
406,135.729,1.19664
407,135.758,1.06573
408,141.544,1.20717
409,141.543,1.0411
410,141.727,1.21722
411,141.694,1.10448
412,148.98,1.30172
413,149.006,1.14909
414,149.147,1.32907
415,149.163,1.13572
416,-0.103759,-2.01148
417,-0.0963935,-2.16609
418,0.0811124,-2.0079
419,0.0504537,-2.15427
421,7.56631,-1.93773
422,7.56056,-2.08006
