id,x,y
0,-0.466253,3.09537
1,-0.467979,2.95145
3,-0.252198,2.97226
4,7.0649,3.05225
5,7.1634,2.94137
7,7.29504,2.92184
8,13.0651,2.98307
9,13.1521,2.86637
11,13.3112,2.83686
12,19.03,2.94515
13,19.0707,2.80362
15,19.2667,2.79609
16,25.0157,2.86669
17,25.0442,2.74496
19,25.2182,2.7311
20,31.0674,2.88597
21,31.0546,2.74056
23,31.2437,2.7358
24,37.0733,2.83528
25,37.0998,2.69606
27,37.2839,2.69392
28,43.0456,2.75773
29,43.0471,2.62659
31,43.2483,2.64543
32,48.5051,2.71305
33,48.5829,2.59405
35,48.7111,2.60725
36,52.4918,2.73051
37,52.5156,2.58092
39,52.723,2.57973
40,60.9937,2.60722
41,61.0329,2.47146
43,61.1546,2.53541
44,67.0256,2.58526
45,67.0349,2.44452
47,67.2154,2.5304
48,73.0317,2.54399
49,73.019,2.40032
51,73.1901,2.39673
52,78.7655,2.51754
53,78.7746,2.37665
55,78.9238,2.34898
56,84.6909,2.40385
57,84.7316,2.26531
59,84.9034,2.28503
60,90.7257,2.40695
61,90.7002,2.2613
63,90.893,2.27339
64,96.6953,2.3064
65,96.6972,2.17817
67,96.8797,2.21416
68,102.185,2.29136
69,102.165,2.13768
71,102.343,2.18476
72,106.124,2.25349
73,106.068,2.09658
75,106.299,2.11813
76,114.732,2.19693
77,114.702,2.03303
79,114.859,2.04719
80,120.684,2.08936
81,120.686,1.94948
83,120.863,1.95671
84,126.594,2.00127
85,126.644,1.86859
87,126.785,1.89118
88,132.647,1.92539
89,132.688,1.79228
91,132.807,1.80135
92,138.574,1.81207
93,138.596,1.67234
95,138.756,1.68574
96,144.592,1.75815
97,144.581,1.62156
99,144.756,1.63829
100,149.029,1.70825
101,149.02,1.55669
103,149.244,1.6225
104,-0.389024,2.11625
105,-0.341149,1.95546
106,-0.255466,2.16738
107,-0.201398,2.00369
108,4.20169,2.09029
109,4.24957,1.93503
110,4.3937,2.07875
111,4.41389,1.92815
112,10.1302,1.98572
113,10.2269,1.82575
115,10.3601,1.87675
116,16.2455,1.90956
117,16.1797,1.77593
118,16.4105,1.92342
119,16.341,1.78228
120,22.1113,1.8788
121,22.1637,1.70899
122,22.383,1.8719
123,22.3224,1.72541
124,28.1088,1.82938
125,28.115,1.6794
126,28.3259,1.83354
127,28.3024,1.6823
128,34.0967,1.80924
129,34.1351,1.64644
130,34.3091,1.79562
131,34.305,1.64168
132,40.115,1.72105
133,40.1895,1.54972
134,40.2241,1.7839
135,40.3365,1.56587
136,48.596,1.67263
137,48.631,1.51606
138,48.7788,1.71227
139,48.7937,1.55755
140,52.523,1.67997
141,52.5943,1.51851
142,52.7619,1.68953
143,52.755,1.53476
144,58.089,1.66737
145,58.0926,1.51302
146,58.222,1.66961
147,58.2478,1.49098
148,64.0956,1.56017
149,64.0881,1.42195
150,64.2429,1.58918
151,64.2668,1.44259
152,69.995,1.57034
153,70.0716,1.39185
154,70.1979,1.53301
155,70.218,1.36161
156,76.0347,1.46584
157,76.1057,1.31643
158,76.3151,1.47635
159,76.2633,1.34149
160,81.731,1.40193
161,81.7964,1.25813
162,81.9599,1.44787
163,81.9894,1.29815
164,87.7266,1.35239
165,87.7733,1.20717
166,87.8805,1.4068
167,87.9395,1.23116
168,93.7551,1.29617
169,93.7612,1.16692
170,93.8396,1.36091
171,93.935,1.1768
172,102.134,1.24215
173,102.153,1.08797
174,102.294,1.28903
175,102.301,1.12638
176,106.1,1.1882
177,106.104,1.03935
178,106.284,1.24585
179,106.257,1.08622
180,111.71,1.14803
181,111.699,1.01753
182,111.865,1.17589
183,111.871,1.02508
184,117.618,1.08247
185,117.66,0.932421
186,117.776,1.09734
187,117.827,0.935284
188,123.679,0.970959
189,123.694,0.819913
190,123.829,1.00672
191,123.849,0.861218
192,129.655,0.888126
193,129.656,0.758887
194,129.753,0.967886
195,129.821,0.806149
196,135.652,0.79019
197,135.64,0.655473
198,135.784,0.86098
199,135.798,0.685199
200,141.572,0.728564
201,141.619,0.595001
202,141.892,0.785474
203,141.765,0.624017
204,149.04,0.648125
205,149.012,0.526198
206,149.216,0.726091
207,149.133,0.578556
208,-0.255345,1.04799
209,-0.254764,0.880646
210,-0.164718,1.04254
211,-0.126549,0.896425
212,7.30187,0.98105
213,7.26061,0.814024
214,7.42712,0.960447
215,7.38053,0.794128
216,13.2819,0.902321
217,13.3293,0.763417
218,13.4355,0.913174
219,13.4659,0.759233
220,19.3247,0.882656
221,19.3443,0.736648
222,19.4996,0.863604
223,19.4952,0.713268
224,25.2396,0.803381
225,25.2665,0.640488
226,25.389,0.824033
227,25.4135,0.670022
228,31.3052,0.783677
229,31.3481,0.671168
230,31.4628,0.772079
231,31.4878,0.634409
232,37.2872,0.715194
233,37.3187,0.589114
234,37.4429,0.742009
235,37.4728,0.598233
236,43.2658,0.648348
237,43.2477,0.507997
238,43.4371,0.687826
239,43.406,0.532263
240,48.67,0.592575
241,48.6557,0.442313
242,48.8611,0.611799
243,48.88,0.463035
244,52.6982,0.615374
245,52.6944,0.470384
246,52.8695,0.633481
247,52.8416,0.483547
248,61.1908,0.551224
249,61.2333,0.440751
250,61.3798,0.571351
251,61.3898,0.428066
252,67.2202,0.519667
253,67.2458,0.401586
254,67.3962,0.530711
255,67.385,0.393492
256,73.1819,0.453944
257,73.197,0.307981
258,73.3247,0.45023
259,73.3171,0.294244
260,78.7866,0.407247
261,78.8075,0.282994
262,78.9475,0.416991
263,78.953,0.274132
264,84.7609,0.328233
265,84.7732,0.210205
266,84.9322,0.331589
267,84.9489,0.18951
268,90.7593,0.257953
269,90.8241,0.161646
270,90.9513,0.324945
271,90.9678,0.182708
272,96.745,0.234412
273,96.794,0.101334
274,96.9132,0.247471
275,96.9483,0.0987623
276,102.116,0.20143
277,102.194,0.0859066
278,102.353,0.218747
279,102.338,0.0754163
280,106.14,0.161962
281,106.132,0.0489842
282,106.319,0.1805
283,106.282,0.0399475
284,114.744,0.0667773
285,114.776,-0.0458124
286,114.878,0.0954603
287,114.911,-0.039982
288,120.697,-0.00883527
289,120.695,-0.137902
290,120.857,0.00952718
291,120.87,-0.15044
292,126.658,-0.0727754
293,126.64,-0.209968
294,126.814,-0.0495171
295,126.805,-0.192295
296,132.69,-0.167731
297,132.735,-0.291007
298,132.831,-0.129189
299,132.893,-0.270085
300,138.621,-0.252767
301,138.598,-0.388141
302,138.737,-0.235097
303,138.805,-0.373533
304,144.617,-0.337048
305,144.656,-0.455569
306,144.826,-0.318208
307,144.783,-0.468344
308,149.052,-0.395609
309,149.092,-0.574667
310,149.201,-0.343708
311,149.167,-0.483941
312,-0.153161,-0.965851
313,-0.162676,-1.13978
314,0.0246641,-0.952576
315,-0.0543631,-1.10739
316,4.37924,-1.0108
317,4.43848,-1.15181
318,4.59316,-1.01004
319,4.5881,-1.15997
320,10.4136,-1.08366
321,10.4286,-1.25341
322,10.5936,-1.06862
323,10.5793,-1.24765
324,16.436,-1.15742
325,16.4367,-1.29473
326,16.6129,-1.09646
327,16.5994,-1.26722
328,22.378,-1.19816
329,22.3894,-1.33779
330,22.6025,-1.182
331,22.5507,-1.33167
332,28.416,-1.23568
333,28.4606,-1.37451
334,28.5671,-1.17408
335,28.6345,-1.31077
336,34.3678,-1.24599
337,34.3774,-1.40154
338,34.5446,-1.2468
339,34.5495,-1.38111
340,40.4108,-1.32654
341,40.4136,-1.46375
342,40.6438,-1.23917
343,40.5849,-1.42816
344,48.8025,-1.41057
345,48.8489,-1.55114
346,48.9708,-1.30442
347,49.0278,-1.47821
348,52.7562,-1.32608
349,52.76,-1.48899
350,52.9931,-1.28183
351,52.9025,-1.4625
352,58.2913,-1.41111
353,58.3113,-1.543
354,58.485,-1.40075
355,58.4566,-1.49356
356,64.2464,-1.45246
357,64.2573,-1.59437
358,64.4175,-1.42816
359,64.4253,-1.62508
360,70.2696,-1.52061
361,70.3022,-1.65326
362,70.4648,-1.50121
363,70.4692,-1.67364
364,76.3144,-1.57665
365,76.284,-1.72383
366,76.4685,-1.57487
367,76.4388,-1.71998
368,81.7596,-1.63696
369,81.7352,-1.77303
370,81.9778,-1.61963
371,81.9086,-1.74258
372,87.7753,-1.69499
373,87.739,-1.83339
374,87.9452,-1.70882
375,87.9258,-1.81082
376,93.7211,-1.74519
377,93.8073,-1.8731
378,93.9052,-1.75644
379,93.9876,-1.89102
380,102.133,-1.85736
381,102.141,-1.96413
382,102.315,-1.79101
383,102.294,-1.94083
