id,x,y
0,0.195283,0.324365
1,0.177687,0.212772
3,0.37376,0.274857
5,7.39265,0.444797
7,7.80549,0.354012
8,13.3381,0.457202
9,13.5059,0.379643
11,13.813,0.359621
12,19.2927,0.506269
13,19.3801,0.384369
15,19.9528,0.205587
16,25.1323,0.368604
17,25.0664,0.237013
19,25.7032,0.0660254
20,31.2263,0.241287
21,31.17,0.0926203
22,31.7937,0.023066
23,31.5898,-0.0673404
24,37.199,0.175829
25,37.1842,0.0191973
26,37.5725,0.0390728
27,37.308,-0.00976061
28,43.0018,0.0782548
29,42.9814,-0.0500446
31,43.3288,-0.195082
32,48.3748,-0.141394
33,48.3723,-0.278068
35,48.7595,-0.310712
36,52.3099,-0.228377
37,52.4933,-0.2873
39,52.5934,-0.359983
40,60.7321,-0.328721
41,60.8801,-0.437618
43,61.123,-0.53155
44,66.7528,-0.480893
45,66.7094,-0.621975
46,67.3772,-0.65942
47,67.1801,-0.728755
48,72.6818,-0.667591
49,72.7115,-0.796286
51,73.0999,-0.902797
52,78.3448,-0.700635
53,78.2922,-0.855926
54,78.7963,-0.886115
55,78.5152,-0.931927
56,84.1873,-0.794165
57,84.2771,-0.917999
59,84.4328,-0.913426
60,90.089,-0.807512
61,90.1319,-0.937987
63,90.2598,-0.955978
64,95.9697,-0.753578
65,95.9999,-0.875734
67,96.3239,-0.886665
68,101.315,-0.705259
69,101.163,-0.876048
71,101.676,-0.80344
72,105.194,-0.72714
73,105.15,-0.892693
104,0.362202,-0.583863
106,0.480099,-0.571408
107,0.443842,-0.714108
108,4.62913,-0.452199
109,4.77008,-0.591212
110,5.03143,-0.665838
111,4.96365,-0.793727
112,10.4181,-0.58868
113,10.5424,-0.721444
115,10.9475,-0.668035
116,16.4347,-0.526228
117,16.5001,-0.687345
118,17.0069,-0.650882
119,16.9179,-0.775708
120,22.3322,-0.59323
121,22.2654,-0.71019
122,22.8976,-0.791663
123,22.8729,-0.944472
124,28.3575,-0.681776
125,28.2113,-0.767755
126,28.7465,-0.916099
127,28.6916,-1.05771
128,34.2451,-0.842916
129,34.176,-0.958549
130,34.5652,-0.989596
131,34.4627,-1.09881
132,40.1486,-0.928781
133,40.1549,-1.07652
134,40.4091,-1.07567
135,40.3885,-1.22622
136,48.5057,-1.16114
137,48.5683,-1.32476
