time,x,y,theta
1742564535.202818,0.000000,0.000000,0.000000
1742564535.403777,-0.020502,-0.046095,0.006425
1742564535.601357,-0.044268,-0.033150,0.005222
1742564535.899416,-0.040187,-0.047131,0.006689
1742564536.000662,-0.046456,-0.037599,0.005558
1742564536.100337,-0.028938,-0.054739,0.008000
1742564536.200828,-0.031004,-0.045262,0.006812
1742564536.401618,-0.048010,-0.047200,0.007245
1742564536.509343,-0.028192,-0.050148,0.007675
1742564536.701094,-0.040592,-0.039053,0.005637
1742564537.592036,-0.038851,-0.055336,0.008197
1742564538.304836,-0.020439,-0.065467,0.009135
1742564538.505983,0.027612,-0.057920,0.007604
1742564538.592298,0.100312,-0.046573,0.008901
1742564538.693643,0.112322,-0.059752,0.013339
1742564538.803280,0.137161,-0.072915,0.015068
1742564538.904172,0.205807,-0.057300,0.015056
1742564539.002141,0.216130,-0.048590,0.015002
1742564539.092622,0.243165,-0.051439,0.012904
1742564539.191545,0.244638,-0.042715,0.013718
1742564539.292153,0.256731,-0.039197,0.012934
1742564539.392447,0.277101,-0.029964,0.018503
1742564539.491206,0.303245,-0.046406,0.037755
1742564539.604052,0.353435,-0.028270,0.056097
1742564539.705503,0.385997,-0.026653,0.077461
1742564539.792736,0.302146,-0.035062,0.110301
1742564539.898081,0.399680,-0.003221,0.129588
1742564540.003502,0.347062,-0.037691,0.131210
1742564540.093600,0.405852,-0.025446,0.131085
1742564540.206919,0.404064,-0.019031,0.128682
1742564540.304540,0.497860,-0.020354,0.130628
1742564540.403959,0.487816,-0.018289,0.127091
1742564540.502989,0.483500,-0.011947,0.123355
1742564540.601679,0.486524,-0.012063,0.122991
1742564540.701871,0.473828,-0.018774,0.119221
1742564540.836386,0.328732,2.411944,0.074750
1742564541.402355,0.534756,2.435858,0.041780
1742564541.504960,0.628784,2.430484,0.042731
1742564541.601638,0.651602,2.439687,0.041731
1742564541.702929,0.703704,2.446297,0.043857
1742564541.806573,0.809729,2.451976,0.043730
1742564541.889391,0.824551,2.441180,0.040254
1742564541.995786,0.848138,2.477391,0.038882
1742564542.097608,0.906565,2.469588,0.038850
