id,x,y
0,-0.310083,-1.029
1,0.00682488,-1.02911
3,0.0465634,-0.916398
5,7.16869,0.945242
7,7.342,0.955002
8,12.9832,1.56953
9,13.2726,1.52605
11,13.3026,1.44822
12,19.0117,2.06705
13,19.0417,1.88684
15,19.2306,1.91852
16,24.8253,2.53423
17,26.1531,2.60383
19,25.2021,2.4113
20,30.9996,3.09005
21,31.0075,2.91951
22,31.5229,2.57926
23,31.1776,2.87166
24,36.9274,3.50036
25,36.9806,3.37921
26,37.5606,3.18282
27,37.1357,3.33099
28,42.788,3.95229
29,42.9332,3.84784
31,43.2149,3.75597
32,48.1593,4.35248
33,48.4697,4.28047
35,48.5105,4.19132
36,52.1487,4.72426
37,52.1853,4.57271
39,52.4843,4.58762
40,60.6354,5.45949
41,60.8397,5.33484
43,60.936,5.29126
44,66.7176,5.9514
45,66.7434,5.81964
46,67.3199,6.08922
47,66.9533,5.7918
48,72.6694,6.42737
49,72.8524,6.29528
50,73.3431,6.42139
51,72.9286,6.28084
52,78.4267,6.89292
53,78.3843,6.75368
55,78.6745,6.70243
56,84.2382,7.27328
57,84.4124,7.16375
59,84.6398,7.13323
60,90.152,7.69488
61,90.4556,7.62215
63,91.0528,8.51101
64,96.1852,8.19232
65,96.4197,8.02202
67,97.0098,8.62467
68,101.655,8.53718
69,101.758,8.40848
71,102.658,8.79299
72,105.461,8.8193
73,105.497,8.69451
75,105.775,8.64861
76,114.235,9.42867
77,115.001,9.40954
79,114.457,9.32357
80,120.016,9.81405
81,120.204,9.70518
83,120.418,9.64606
84,126.054,10.1822
85,126.231,10.0791
87,126.36,10.0352
88,132.244,10.6036
89,132.327,10.5171
91,132.34,10.3919
92,138.128,10.8993
93,138.162,10.7928
95,138.363,10.7502
96,144.158,11.238
97,144.155,11.1589
99,144.355,11.0516
100,148.512,11.463
101,148.515,11.3468
103,148.722,11.4476
104,-0.0410659,-2.03512
105,0.187377,-2.01511
106,0.226708,-1.74829
107,0.226545,-1.92435
108,4.44038,-1.32667
109,4.72096,-1.58707
110,4.90224,-1.2704
111,4.7339,-1.42701
112,10.2264,0.340487
113,10.336,0.2299
114,10.8809,-0.617081
115,10.9299,-0.75952
116,16.2582,0.806373
117,16.2108,0.707595
118,16.6669,0.0413344
119,16.5879,-0.0847932
120,22.2666,1.3062
121,22.1032,1.1712
122,22.3348,1.40559
123,22.6643,0.50201
124,27.9926,1.79365
125,28.13,1.67077
126,28.2779,1.84301
127,28.5099,1.08782
128,34.0646,2.24913
129,34.1293,2.06282
130,34.2735,2.27794
131,34.8179,1.64382
132,40.344,2.64696
133,40.1576,2.4784
134,40.1668,2.77128
135,40.6308,2.3129
136,48.6335,3.46391
137,48.4318,3.24602
138,48.6128,3.43322
139,49.0702,3.20421
140,52.2287,3.70452
141,52.2363,3.56619
142,52.6012,3.82293
143,52.788,3.60729
144,57.8024,4.1905
145,57.7636,4.0316
