time,x,y,theta
1746527852.657178,6.166588,0.435636,0.042881
1746527852.750619,6.206708,0.429244,0.043746
1746527852.848552,6.301192,0.434152,0.045739
1746527852.947270,6.413685,0.445094,0.045756
1746527853.046828,6.522716,0.458394,0.040781
1746527853.146870,6.652333,0.449961,0.043234
1746527853.245133,6.786149,0.458421,0.045826
1746527853.348243,6.922835,0.477581,0.041296
1746527853.445651,6.969813,0.509407,0.041141
1746527853.545182,7.088238,0.517738,0.034849
1746527853.648747,7.226152,0.476762,0.044287
1746527853.750013,7.304540,0.514773,0.046230
1746527853.846769,7.376518,0.515028,0.042255
1746527853.948545,7.480206,0.538353,0.047109
1746527854.049742,7.615102,0.544774,0.061653
1746527854.148474,7.742348,0.550172,0.061012
1746527854.247327,7.851956,0.564776,0.068543
1746527854.347116,7.970554,0.564864,0.067935
1746527854.447696,8.021125,0.599131,0.065711
1746527854.546115,8.077279,0.551569,0.073169
1746527854.645440,8.158185,0.609522,0.067650
1746527854.748776,8.185164,0.630819,0.070280
1746527854.852520,8.313704,0.627472,0.072694
1746527854.947748,8.378472,0.612433,0.094931
1746527855.049075,8.474746,0.642481,0.100393
1746527855.151238,8.634358,0.676147,0.088045
1746527855.249277,8.684376,0.699322,0.093820
1746527855.349359,8.740241,0.686576,0.095126
1746527855.446245,8.772919,0.696627,0.091392
1746527855.546891,8.856197,0.672266,0.110033
1746527855.647265,8.963161,0.722793,0.115408
1746527855.749264,9.049246,0.714214,0.108225
1746527855.846241,9.087574,0.741362,0.112157
1746527855.949283,9.136006,0.722744,0.119589
1746527856.057067,9.251053,0.753556,0.106503
1746527856.148082,9.397078,0.771059,0.098223
1746527856.247470,9.534273,0.768651,0.093300
1746527856.348342,9.725445,0.820589,0.077559
1746527856.446132,9.790207,0.780264,0.080737
1746527856.544952,9.851576,0.805632,0.071341
1746527856.645363,9.962241,0.695842,0.088995
1746527856.743905,10.017096,0.768558,0.076837
1746527856.843738,10.130276,0.836643,0.063710
1746527856.948419,10.228444,0.844182,0.067210
1746527857.045042,10.301370,0.855220,0.070002
1746527857.148799,10.368942,0.862012,0.064607
1746527857.249497,10.471956,0.868729,0.063184
1746527857.349983,10.547481,0.864791,0.067119
1746527857.450603,10.584233,0.860538,0.070440
1746527857.545883,10.716536,0.854274,0.048998
1746527857.656086,10.816621,0.861726,0.046373
1746527857.749596,10.908535,0.890904,0.062169
1746527857.846184,11.011650,0.871517,0.057475
1746527857.949182,11.107677,0.933980,0.052293
1746527858.048160,11.191393,0.892720,0.057765
1746527858.148815,11.233540,0.907421,0.053920
1746527858.248599,11.355760,0.933495,0.041282
1746527858.348296,11.458923,0.914083,0.055266
1746527858.448434,11.582640,0.946053,0.064755
1746527858.547000,11.670645,0.925105,0.067581
1746527858.646875,11.741513,0.890184,0.071873
1746527858.745810,11.883448,0.957020,0.070788
1746527858.847246,11.966553,1.026013,0.055715
1746527858.948819,12.043510,0.978456,0.063016
1746527859.047617,12.110784,1.002495,0.067290
1746527859.147806,12.188356,1.019162,0.055848
1746527859.247365,12.283036,1.033822,0.052679
1746527859.348684,12.335522,1.035269,0.067147
1746527859.448920,12.473131,1.062478,0.073062
1746527859.548642,12.529747,0.987949,0.073530
1746527859.647192,12.674726,1.046798,0.055812
1746527859.750207,12.769277,1.041762,0.062599
1746527859.848968,12.896172,1.071831,0.065246
1746527859.958017,12.993863,1.085226,0.056711
1746527860.045227,13.034496,1.104940,0.065662
1746527860.147230,13.183845,1.128886,0.066501
1746527860.245989,13.172123,1.091881,0.065327
1746527860.347488,13.247736,1.088240,0.067072
1746527860.447989,13.291278,1.120728,0.062552
1746527860.548776,13.358013,1.115191,0.063806
1746527860.646527,13.427381,1.086660,0.069834
1746527860.746679,13.478966,1.101408,0.070376
1746527860.850787,13.534152,1.164140,0.069592
1746527860.948674,13.587763,1.106352,0.086302
1746527861.047525,13.711761,1.134929,0.078544
1746527861.151323,13.825245,1.194345,0.068815
1746527861.247694,13.843101,1.135613,0.082378
1746527861.349758,13.902535,1.128150,0.084215
1746527861.447293,13.992026,1.117378,0.082867
1746527861.547653,14.069681,1.187989,0.082979
1746527861.648758,14.236453,1.212332,0.083533
1746527861.745441,14.298113,1.171620,0.085198
1746527861.847899,14.420585,1.227990,0.077549
1746527861.945022,14.541652,1.203818,0.081133
1746527862.043448,14.638589,1.233784,0.078661
1746527862.148124,14.700133,1.243096,0.088743
1746527862.245583,14.801185,1.252452,0.083740
1746527862.347859,14.897956,1.251146,0.080903
1746527862.450728,14.991229,1.256411,0.084029
1746527862.549499,15.079529,1.276787,0.073499
1746527862.647779,15.151484,1.236762,0.077308
1746527862.747036,15.214121,1.279673,0.072888
1746527862.848129,15.287416,1.295927,0.071639
1746527862.948453,15.368778,1.262895,0.068634
1746527863.055068,15.430853,1.295806,0.065982
1746527863.146838,15.515083,1.306851,0.067262
1746527863.247699,15.624909,1.343914,0.056206
1746527863.344039,15.692281,1.316578,0.058470
1746527863.446208,15.730831,1.309036,0.058042
1746527863.546430,15.804731,1.318810,0.060413
1746527863.651213,15.864567,1.335687,0.046575
1746527863.749553,15.964559,1.310428,0.031259
1746527863.844801,16.038836,1.324831,0.027792
1746527863.948843,16.110107,1.310025,0.031312
1746527864.044025,16.237894,1.319026,0.034177
1746527864.147846,16.360291,1.362736,0.028225
1746527864.245241,16.382584,1.351190,0.029992
1746527864.346797,16.534372,1.361313,0.029364
1746527864.447752,16.575077,1.297849,0.038046
1746527864.548337,16.686621,1.348950,0.035441
1746527864.648668,16.753771,1.379503,0.028686
1746527864.746621,16.854198,1.343180,0.032549
1746527864.851667,16.949776,1.396690,0.027546
1746527864.948256,17.076656,1.357227,0.033850
1746527865.050151,17.149359,1.450624,0.022962
1746527865.147250,17.240858,1.406043,0.031068
1746527865.248892,17.308933,1.384780,0.039431
1746527865.351074,17.388187,1.417033,0.030223
1746527865.445832,17.475061,1.401852,0.031809
1746527865.546197,17.568922,1.440335,0.034523
1746527865.647027,17.685417,1.454019,0.035257
1746527865.750025,17.759495,1.448552,0.036087
1746527865.849704,17.916313,1.485814,0.035468
1746527865.945981,17.981270,1.471764,0.036786
1746527866.049451,18.026373,1.460570,0.035013
1746527866.146629,18.109640,1.468012,0.031255
1746527866.244317,18.188547,1.484891,0.030677
1746527866.346464,18.281134,1.478191,0.030715
1746527866.445704,18.381449,1.438698,0.036553
1746527866.547712,18.395771,1.511757,0.028203
1746527866.649050,18.471615,1.512096,0.026570
1746527866.748290,18.560699,1.487669,0.032231
1746527866.857009,18.625132,1.517931,0.028642
1746527866.948599,18.699385,1.553553,0.030498
1746527867.048542,18.784203,1.516611,0.052915
1746527867.145578,18.862337,1.489476,0.058645
1746527867.244891,18.985199,1.528512,0.060483
1746527867.346017,19.010565,1.464697,0.098116
1746527867.446462,19.012392,1.512674,0.101219
1746527867.546675,18.943481,1.542439,0.093605
1746527867.649714,18.955309,1.531919,0.096026
1746527867.745934,18.961338,1.539669,0.092980
1746527867.849664,18.955057,1.556963,0.092430
1746527867.944605,18.933500,1.535971,0.095325
1746527868.045249,18.961998,1.564913,0.091808
1746527868.147961,18.970865,1.582923,0.089595
1746527868.245251,18.961424,1.530692,0.095595
1746527868.347610,18.944334,1.578165,0.088772
1746527868.449643,18.972801,1.539886,0.094627
1746527868.549407,18.982809,1.593199,0.086409
1746527868.647657,18.969265,1.533191,0.094755
1746527868.747596,18.975952,1.550003,0.092724
1746527868.848898,18.991463,1.640216,0.079968
1746527868.947691,18.960468,1.554525,0.093029
1746527869.046726,18.963057,1.559992,0.091641
1746527869.147477,18.947027,1.511572,0.099743
1746527869.247724,18.955465,1.568300,0.090607
1746527869.346516,18.949757,1.517236,0.097036
1746527869.447672,18.963688,1.533384,0.097539
1746527869.547416,19.005863,1.531548,0.097843
1746527869.655342,19.008417,1.547161,0.097418
1746527869.748737,19.105921,1.553020,0.095267
1746527869.848920,19.119009,1.570343,0.093489
1746527869.948970,19.146200,1.587361,0.092553
1746527870.047698,19.183081,1.569323,0.093964
1746527870.148898,19.225204,1.576931,0.092801
1746527870.247154,19.250374,1.571705,0.097234
1746527870.347148,19.324808,1.576693,0.095594
1746527870.448074,19.422346,1.564738,0.098934
1746527870.547850,19.495996,1.576318,0.095243
1746527870.647253,19.551973,1.572901,0.097677
1746527870.746255,19.635357,1.645342,0.090778
1746527870.857146,19.664127,1.610074,0.093120
1746527870.946100,19.743652,1.609481,0.093565
1746527871.048157,19.764097,1.632348,0.088929
1746527871.148052,19.858871,1.648216,0.078832
1746527871.244271,19.947983,1.630335,0.081614
1746527871.353535,20.002106,1.631187,0.083276
1746527871.448034,20.077898,1.719284,0.069757
1746527871.549363,20.093706,1.670262,0.074878
1746527871.649353,20.152767,1.656587,0.078738
1746527871.746505,20.217743,1.727921,0.068213
1746527871.847330,20.258539,1.692445,0.073509
1746527871.961792,20.304359,1.655494,0.076640
1746527872.050692,20.401907,1.699030,0.075652
1746527872.145553,20.462927,1.749398,0.069135
1746527872.245916,20.505919,1.735682,0.069663
1746527872.345130,20.597795,1.731083,0.077038
1746527872.447574,20.683132,1.706245,0.074027
1746527872.558745,20.754925,1.741898,0.072171
1746527872.648405,20.842979,1.759263,0.069775
1746527872.749235,20.921206,1.705064,0.081033
1746527872.847862,21.029940,1.785109,0.070392
1746527872.946048,21.123762,1.808814,0.068432
1746527873.046293,21.239079,1.848003,0.061852
1746527873.145838,21.255854,1.799661,0.073862
1746527873.247875,21.328981,1.818818,0.068115
1746527873.346640,21.384283,1.824959,0.063997
1746527873.447001,21.428902,1.827214,0.067201
1746527873.547866,21.546618,1.849098,0.058909
1746527873.646914,21.635227,1.830042,0.056075
1746527873.766467,21.757982,1.785096,0.061664
1746527873.850144,21.899210,1.850534,0.055946
1746527873.949100,21.984278,1.843139,0.053119
1746527874.049318,22.057486,1.864974,0.056044
1746527874.157374,22.156185,1.871761,0.061832
1746527874.246909,22.251871,1.907221,0.052664
1746527874.348040,22.362333,1.899404,0.053006
1746527874.449036,22.428513,1.850868,0.062679
1746527874.567506,22.586365,1.914829,0.048564
1746527874.651230,22.658510,1.932221,0.047459
1746527874.748795,22.755859,1.917649,0.054895
1746527874.846809,22.841219,1.900899,0.058008
1746527874.950313,22.942127,1.912078,0.055198
1746527875.049260,23.038124,1.935918,0.052108
1746527875.151839,23.140612,1.942998,0.054533
1746527875.245782,23.276661,1.960768,0.053080
1746527875.346827,23.359251,1.988879,0.055865
1746527875.446229,23.448082,1.923994,0.060186
1746527875.545423,23.560213,1.976666,0.052548
1746527875.644746,23.661411,1.992084,0.051855
1746527875.747741,23.729923,1.985277,0.051035
1746527875.846493,23.867226,2.022426,0.058734
1746527875.958614,23.945591,2.005549,0.056613
1746527876.052020,24.037849,2.002725,0.056536
1746527876.147494,24.107485,2.014441,0.057668
1746527876.251677,24.219851,2.050592,0.054454
1746527876.347803,24.333069,2.029368,0.052546
1746527876.447124,24.410357,2.064698,0.056956
1746527876.549741,24.575953,2.039989,0.053963
1746527876.649073,24.658878,2.059240,0.056816
1746527876.747575,24.734371,2.059658,0.054402
1746527876.845568,24.841814,2.060677,0.057461
1746527876.949868,24.957750,2.074407,0.057391
1746527877.058337,25.110964,2.096973,0.045943
1746527877.147204,25.190067,2.138125,0.045558
1746527877.245752,25.323387,2.106642,0.052524
1746527877.349813,25.404217,2.102678,0.051564
1746527877.446316,25.512257,2.153077,0.053006
1746527877.545101,25.601908,2.143530,0.054593
1746527877.645351,25.658646,2.096702,0.053767
1746527877.750652,25.725466,2.148747,0.051011
1746527877.847675,25.809917,2.165541,0.052113
1746527877.947497,25.854080,2.171520,0.050931
1746527878.046263,25.916784,2.148480,0.054727
1746527878.149124,25.962460,2.164196,0.052868
1746527878.245372,26.086874,2.191731,0.046539
1746527878.346735,26.135588,2.169455,0.051298
1746527878.447107,26.192833,2.176528,0.053909
1746527878.548824,26.281626,2.205408,0.045757
1746527878.648108,26.379076,2.206978,0.049375
1746527878.747740,26.444622,2.228765,0.051883
1746527878.849577,26.503323,2.205307,0.057079
1746527878.949783,26.656797,2.302080,0.042914
1746527879.045893,26.760857,2.269151,0.049348
1746527879.146631,26.803144,2.238857,0.054002
1746527879.245401,26.910913,2.265972,0.051885
1746527879.347173,26.998734,2.253799,0.051194
1746527879.446745,27.091772,2.268391,0.050104
1746527879.547916,27.204695,2.300570,0.045074
1746527879.657275,27.225859,2.253696,0.053389
1746527879.749738,27.329248,2.288356,0.048811
1746527879.848421,27.382818,2.286319,0.048379
1746527879.950519,27.463936,2.304630,0.047177
1746527880.048633,27.580130,2.294309,0.053292
1746527880.149968,27.701719,2.312600,0.051262
1746527880.250047,27.794498,2.326202,0.049867
1746527880.350148,27.899107,2.338532,0.048387
1746527880.449523,27.981251,2.302455,0.050032
1746527880.562007,28.084599,2.354454,0.043882
1746527880.646667,28.131290,2.348629,0.044265
1746527880.743856,28.192442,2.355742,0.043111
1746527880.847637,28.259493,2.360705,0.044102
1746527880.948413,28.331745,2.371180,0.045134
1746527881.046738,28.402943,2.377534,0.047780
1746527881.150034,28.487097,2.420491,0.038575
1746527881.245036,28.555109,2.392496,0.047007
1746527881.346191,28.648302,2.388520,0.050028
1746527881.446158,28.761742,2.414771,0.043908
1746527881.545157,28.827534,2.427074,0.044043
1746527881.648276,28.887091,2.439302,0.046798
1746527881.746093,28.957121,2.398219,0.050225
1746527881.849155,29.050760,2.440698,0.043002
1746527881.944341,29.098740,2.432069,0.046983
1746527882.045896,29.130680,2.423079,0.046877
