time,x,y,theta
1732883349.824292,12.738510,2.665845,0.004733
1732883349.924276,12.845767,2.668863,0.008241
1732883350.024085,12.962277,2.745388,-0.007341
1732883350.123950,13.051361,2.722674,-0.007926
1732883350.223711,13.152385,2.740817,-0.005528
1732883350.323932,13.217177,2.702043,0.010205
1732883350.424176,13.316361,2.790341,-0.026533
1732883350.524162,13.377439,2.771830,-0.012283
1732883350.724002,13.459229,2.748504,-0.009361
1732883350.823884,13.467268,2.752852,-0.006678
1732883350.923851,13.579887,2.708630,0.011771
1732883351.023819,13.603994,2.758718,-0.000579
1732883351.123791,13.722665,2.728321,0.021571
1732883351.223888,13.788212,2.760648,0.003560
1732883351.324003,13.900026,2.695460,0.033654
1732883351.423997,14.023591,2.754220,0.010587
1732883351.524109,14.078690,2.790260,-0.008030
1732883351.624117,14.119906,2.762714,0.004671
1732883351.724072,14.055340,2.760550,0.004857
1732883351.824240,14.108116,2.771664,0.011483
1732883351.924252,14.169934,2.763805,0.020402
1732883352.024183,14.200380,2.764913,0.011323
1732883352.124097,14.240021,2.762383,0.012614
1732883352.223906,14.301122,2.763632,0.014267
1732883352.323804,14.349170,2.769691,0.015949
1732883352.423857,14.411024,2.766800,0.010257
1732883352.523933,14.458083,2.752552,0.029866
1732883352.624022,14.526434,2.778091,-0.000708
1732883352.724234,14.595232,2.762689,0.010063
1732883352.824040,14.654471,2.753629,0.016230
1732883352.923880,14.731146,2.765486,0.000469
1732883353.023887,14.778716,2.755291,0.014642
1732883353.123879,14.858657,2.769351,-0.022144
1732883353.223728,14.918473,2.759013,0.002537
1732883353.323863,14.988083,2.761371,0.000458
1732883353.423966,15.048292,2.748256,0.010584
1732883353.523927,15.130242,2.760781,-0.010844
1732883353.623873,15.188638,2.753576,-0.004716
1732883353.723965,15.250805,2.755347,-0.005092
1732883353.824211,15.316417,2.769846,-0.043414
1732883353.924413,15.402153,2.783671,-0.084660
1732883354.024300,15.464604,2.781838,-0.073094
1732883354.124166,15.549113,2.789060,-0.077981
1732883354.224037,15.618345,2.792407,-0.071399
1732883354.324086,15.695507,2.769155,-0.024818
1732883354.424062,15.771677,2.791208,-0.068913
1732883354.524061,15.852925,2.789970,-0.067251
1732883354.623971,15.931434,2.789227,-0.063988
1732883354.723990,16.000368,2.769647,-0.026677
1732883354.824062,16.085930,2.782288,-0.056315
1732883354.923998,16.166854,2.769716,-0.036457
1732883355.023986,16.245592,2.771694,-0.048941
1732883355.123943,16.326702,2.758623,-0.028538
1732883355.223965,16.415166,2.760861,-0.030409
1732883355.323927,16.499875,2.761953,-0.043434
1732883355.423941,16.602599,2.762805,-0.033099
1732883355.524159,16.680415,2.751536,-0.027257
1732883355.624060,16.768028,2.751093,-0.029136
1732883355.724087,16.847092,2.746741,-0.020535
1732883355.824076,16.946594,2.746535,-0.022374
1732883355.924107,17.018488,2.734615,-0.006184
1732883356.024050,17.107906,2.734608,-0.011057
1732883356.124083,17.196418,2.734179,-0.017646
1732883356.224098,17.286276,2.735275,-0.026019
1732883356.324057,17.369376,2.730696,-0.027045
1732883356.424028,17.444644,2.721964,-0.018878
1732883356.524110,17.551889,2.710361,-0.015744
1732883356.724045,17.644047,2.709122,-0.008264
1732883356.824080,17.732586,2.696761,-0.002117
1732883356.924103,17.810418,2.703027,-0.018726
1732883357.024000,17.876110,2.692344,-0.002734
1732883357.123970,17.951396,2.689284,0.002174
1732883357.223949,18.032236,2.688382,0.013069
1732883357.324229,18.125498,2.713385,-0.044366
1732883358.024525,18.195250,2.714785,0.015073
1732883358.523993,18.260699,2.722404,0.007957
1732883358.623951,18.322611,2.726265,0.015714
1732883359.024117,18.380862,2.733250,0.016439
1732883359.724080,18.446616,2.721022,0.018833
1732883359.824122,18.510079,2.723148,0.022647
1732883360.024103,18.584673,2.719804,0.047601
1732883360.224090,18.645905,2.751500,0.001724
1732883360.423941,18.699980,2.733293,0.042121
1732883360.524025,18.745803,2.705522,0.082381
1732883360.624005,18.831157,2.737103,0.034469
1732883360.724059,18.887674,2.734075,0.046188
1732883360.823921,18.956505,2.719151,0.069867
1732883361.023960,19.024090,2.730638,0.047155
1732883361.224082,19.118080,2.743041,0.024951
